Wall time,Step,Value
1495647786.562156,39999,34.0
1495649969.789422,59999,34.0
1495652507.918486,79999,34.0
1495655431.764931,99999,34.0
1495658541.864816,119999,33.0
1495661630.676413,139999,34.0
1495664717.672661,159999,34.0
1495667817.357631,179999,34.0
1495670898.652424,199999,34.0
1495673987.120037,219999,34.0
1495677073.413146,239999,34.0
1495680199.066592,259999,34.0
1495683325.481373,279999,33.0
1495686455.525086,299999,34.0
1495689588.183696,319999,34.0
1495692722.552416,339999,34.0
1495695858.136257,359999,34.0
1495698996.324568,379999,33.0
1495702134.756207,399999,34.0
1495705272.33438,419999,34.0
1495708394.997499,439999,34.0
1495711517.544308,459999,34.0
1495714643.761644,479999,34.0
1495717752.219678,499999,34.0
1495720834.638403,519999,33.0
1495723901.181456,539999,34.0
1495726969.459834,559999,34.0
1495730034.649843,579999,34.0
1495733100.805505,599999,34.0
1495736167.345553,619999,33.0
1495739255.93767,639999,34.0
1495742392.547389,659999,34.0
1495745529.948417,679999,34.0
1495748676.971817,699999,34.0
1495751824.100311,719999,34.0
1495754969.991078,739999,33.0
1495758118.202072,759999,34.0
1495761251.884767,779999,34.0
1495764383.287403,799999,34.0
1495767513.522504,819999,34.0
1495770640.702514,839999,34.0
1495773783.568978,859999,33.0
1495776928.135091,879999,34.0
1495780072.210906,899999,34.0
1495783217.866753,919999,34.0
1495786296.456275,939999,33.0
1495789431.086879,959999,34.0
1495792579.89375,979999,34.0
1495795723.532631,999999,34.0
1495798883.299869,1019999,34.0
1495802042.280195,1039999,34.0
1495805203.910654,1059999,33.0
1495808360.522671,1079999,34.0
1495811513.49575,1099999,34.0
1495814663.436529,1119999,34.0
1495817799.094951,1139999,34.0
1495820933.543118,1159999,33.0
1495824068.550607,1179999,34.0
1495827203.844584,1199999,34.0
1495830354.447101,1219999,34.0
1495833505.918933,1239999,34.0
1495836643.31532,1259999,33.0
1495839732.842076,1279999,34.0
1495842806.463568,1299999,34.0
1495845876.501451,1319999,34.0
1495848929.45351,1339999,34.0
1495851979.70104,1359999,33.0
1495855040.833235,1379999,34.0
1495858094.189794,1399999,34.0
1495861145.593595,1419999,34.0
1495864209.646165,1439999,34.0
1495867264.01475,1459999,34.0
1495870314.811495,1479999,33.0
1495873364.659826,1499999,34.0
1495876390.692593,1519999,34.0
1495879427.535831,1539999,34.0
1495882486.686442,1559999,33.0
1495885543.639409,1579999,34.0
1495888603.372008,1599999,34.0
1495891662.030777,1619999,34.0
1495894712.57739,1639999,34.0
1495897770.004757,1659999,34.0
1495900828.730098,1679999,34.0
1495903888.185389,1699999,33.0
1495906958.17494,1719999,34.0
1495910009.249597,1739999,34.0
1495913042.750169,1759999,34.0
1495916096.039794,1779999,34.0
1495919157.686045,1799999,33.0
1495922208.297626,1819999,34.0
1495925287.90657,1839999,34.0
1495928380.249824,1859999,34.0
1495931443.03762,1879999,34.0
1495934505.555352,1899999,33.0
1495937577.17601,1919999,34.0
1495940627.569298,1939999,34.0
1495943673.812606,1959999,34.0
1495946732.975864,1979999,33.0
1495949772.48095,1999999,34.0
1495952798.046061,2019999,34.0
1495955842.485227,2039999,34.0
1495958892.969194,2059999,34.0
1495961943.963521,2079999,33.0
1495965001.994958,2099999,34.0
1495968054.124519,2119999,34.0
1495971108.76085,2139999,34.0
1495974162.10238,2159999,34.0
1495977212.013168,2179999,33.0
1495980268.421944,2199999,34.0
1495983320.79439,2219999,34.0
1495986368.406419,2239999,34.0
1495989426.904407,2259999,34.0
1495992455.845507,2279999,34.0
1495995468.21295,2299999,33.0
1495998492.043219,2319999,34.0
1496001508.510279,2339999,34.0
1496004520.954613,2359999,34.0
1496007547.29177,2379999,33.0
1496010563.904814,2399999,34.0
1496013580.049605,2419999,34.0
1496016647.795697,2439999,34.0
1496019753.645457,2459999,34.0
1496022868.198609,2479999,33.0
1496025935.120848,2499999,34.0
1496028989.418806,2519999,34.0
1496032047.586006,2539999,34.0
1496035085.522421,2559999,34.0
1496038110.712235,2579999,33.0
1496041142.602081,2599999,34.0
1496044173.701094,2619999,35.0
1496047195.052159,2639999,33.0
1496050229.555473,2659999,34.0
1496053257.344033,2679999,34.0
1496056275.937382,2699999,34.0
1496059308.908136,2719999,34.0
1496062333.761566,2739999,33.0
1496065349.600324,2759999,34.0
1496068386.202106,2779999,34.0
1496071409.243036,2799999,34.0
1496074428.377054,2819999,34.0
1496077464.801059,2839999,33.0
1496080487.471044,2859999,34.0
1496083508.029926,2879999,34.0
1496086540.249031,2899999,34.0
1496089564.554628,2919999,34.0
1496092585.727742,2939999,34.0
1496095620.844024,2959999,33.0
1496098640.919324,2979999,34.0
1496101670.714192,2999999,34.0
1496104731.168821,3019999,34.0
1496107784.526073,3039999,34.0
1496110823.48216,3059999,33.0
1496113911.872393,3079999,34.0
1496117005.63752,3099999,34.0
1496120078.904006,3119999,34.0
1496123116.276787,3139999,34.0
1496126155.005074,3159999,33.0
1496129172.934702,3179999,34.0
1496132190.689005,3199999,34.0
1496135211.574588,3219999,34.0
1496138231.741857,3239999,34.0
1496141250.293694,3259999,34.0
1496144267.190815,3279999,33.0
1496147292.439268,3299999,34.0
1496150317.62475,3319999,34.0
1496153370.328887,3339999,34.0
