Wall time,Step,Value
1494749627.956179,39999,-6.647058963775635
1494751632.011079,59999,-4.176470756530762
1494753861.32212,79999,-9.088234901428223
1494756373.8208,99999,-13.235294342041016
1494759058.382503,119999,-14.151515007019043
1494761763.66259,139999,-18.08823585510254
1494764467.840396,159999,-20.382352828979492
1494767177.901332,179999,-20.735294342041016
1494769889.575966,199999,-18.941177368164062
1494772563.004348,219999,-20.0
1494775233.23118,239999,-22.647058486938477
1494777904.324572,259999,-25.205883026123047
1494780572.029232,279999,-21.941177368164062
1494783244.827902,299999,-17.363636016845703
1494785928.294168,319999,-23.0
1494788617.840531,339999,-19.794116973876953
1494791307.333418,359999,-20.941177368164062
1494793981.679001,379999,-20.08823585510254
1494796639.901869,399999,-21.97058868408203
1494799296.948687,419999,-23.878787994384766
1494801956.345586,439999,-21.941177368164062
1494804610.859319,459999,-23.558822631835938
1494807255.482552,479999,-20.176469802856445
1494809915.13932,499999,-21.727272033691406
1494812574.574494,519999,-20.117647171020508
1494815232.417378,539999,-21.352941513061523
1494817890.409446,559999,-21.617647171020508
1494820550.263036,579999,-20.852941513061523
1494823195.615066,599999,-23.18181800842285
1494825839.411396,619999,-22.117647171020508
1494828497.942959,639999,-18.41176414489746
1494831149.518933,659999,-27.558822631835938
1494833801.851456,679999,-20.441177368164062
1494836482.347038,699999,-21.060606002807617
1494839164.036386,719999,-20.823530197143555
1494841845.766312,739999,-19.441177368164062
1494844528.70164,759999,-20.117647171020508
1494847215.490969,779999,-21.617647171020508
1494849898.311307,799999,-18.909090042114258
1494852580.28445,819999,-20.882352828979492
1494855260.570901,839999,-23.617647171020508
1494857862.415087,859999,-21.323530197143555
1494860442.294819,879999,-20.02941131591797
1494863036.653789,899999,-22.060606002807617
1494865630.400003,919999,-21.617647171020508
1494868224.226031,939999,-17.08823585510254
1494870820.41228,959999,-17.705883026123047
1494873418.524726,979999,-20.176469802856445
1494876012.325985,999999,-19.363636016845703
1494878605.49589,1019999,-19.02941131591797
1494881199.073973,1039999,-19.058822631835938
1494883793.184273,1059999,-17.764705657958984
1494886379.204961,1079999,-17.176469802856445
1494888972.028077,1099999,-21.058822631835938
1494891567.261823,1119999,-17.060606002807617
1494894145.034039,1139999,-21.558822631835938
1494896716.729627,1159999,-18.764705657958984
1494899287.725424,1179999,-21.02941131591797
1494901871.482954,1199999,-22.0
1494904432.530829,1219999,-23.794116973876953
1494906994.580346,1239999,-19.323530197143555
1494909554.494973,1259999,-21.41176414489746
1494912110.670191,1279999,-20.91176414489746
1494914667.353994,1299999,-19.176469802856445
1494917209.794644,1319999,-18.454545974731445
1494919761.233554,1339999,-22.117647171020508
