Wall time,Step,Value
1494748185.936891,39999,6.0
1494750104.05688,59999,12.0
1494752296.428901,79999,5.0
1494754745.001593,99999,-1.0
1494757358.40248,119999,-2.0
1494759985.91385,139999,-1.0
1494762616.166354,159999,-5.0
1494765248.996223,179999,-8.0
1494767878.705058,199999,-1.0
1494770510.475592,219999,-3.0
1494773143.059706,239999,-3.0
1494775773.334634,259999,-7.0
1494778405.960476,279999,-8.0
1494781038.566897,299999,-7.0
1494783668.704827,319999,-1.0
1494786297.906463,339999,-2.0
1494788929.695933,359999,-6.0
1494791557.018778,379999,-4.0
1494794183.952015,399999,-8.0
1494796813.672751,419999,-2.0
1494799443.565311,439999,-1.0
1494802072.859703,459999,3.0
1494804704.006736,479999,-6.0
1494807336.667251,499999,-5.0
1494809966.987424,519999,-3.0
1494812595.945847,539999,-1.0
1494815197.284818,559999,-2.0
1494817794.317566,579999,-4.0
1494820402.424592,599999,-6.0
1494823014.489122,619999,-6.0
1494825626.923428,639999,-3.0
1494828241.12932,659999,-4.0
1494830872.700233,679999,-6.0
1494833506.062516,699999,-3.0
1494836138.186698,719999,-9.0
1494838771.490472,739999,-2.0
1494841397.488047,759999,-9.0
1494844012.203882,779999,-4.0
1494846627.314471,799999,-6.0
1494849240.142165,819999,-7.0
1494851855.465031,839999,-5.0
1494854470.186514,859999,-2.0
1494857100.678604,879999,-3.0
1494859736.383788,899999,-6.0
1494862365.809788,919999,-6.0
1494864999.068956,939999,-5.0
1494867627.64985,959999,-10.0
1494870242.477521,979999,-3.0
1494872855.595185,999999,-3.0
1494875467.22617,1019999,-7.0
1494878081.674358,1039999,-1.0
1494880695.347665,1059999,-8.0
1494883313.376384,1079999,-3.0
1494885911.17963,1099999,-5.0
1494888488.862844,1119999,-4.0
1494891067.355622,1139999,-10.0
1494893646.88506,1159999,-14.0
1494896226.208879,1179999,-1.0
1494898820.408369,1199999,-2.0
1494901432.661858,1219999,-7.0
1494904051.712795,1239999,-3.0
1494906667.748617,1259999,-9.0
1494909286.843169,1279999,0.0
1494911903.233791,1299999,-7.0
1494914503.429331,1319999,-3.0
1494917086.049442,1339999,-7.0
