Wall time,Step,Value
1495649776.222465,39999,-21.0
1495654242.973971,59999,-17.0
1495659222.723054,79999,-29.0
1495664839.220125,99999,-45.0
1495670810.295645,119999,-59.0
1495676801.737487,139999,-50.0
1495682795.946729,159999,-57.0
1495688778.618693,179999,-47.0
1495694614.16562,199999,-76.0
1495700550.980077,219999,-93.0
1495706537.860664,239999,-93.0
1495712541.709185,259999,-52.0
1495718586.532082,279999,-50.0
1495724688.948749,299999,-43.0
1495730807.810477,319999,-40.0
1495736928.75178,339999,-57.0
1495743055.236207,359999,-47.0
1495749179.958733,379999,-48.0
1495755308.982875,399999,-55.0
1495761438.538007,419999,-48.0
1495767565.640638,439999,-51.0
1495773698.06101,459999,-86.0
1495779830.163995,479999,-60.0
1495785962.449919,499999,-57.0
1495792018.460515,519999,-52.0
1495798072.056953,539999,-56.0
1495804125.67197,559999,-56.0
1495810186.165246,579999,-48.0
1495816283.006375,599999,-66.0
1495822416.512267,619999,-65.0
1495828553.714222,639999,-72.0
1495834691.664758,659999,-49.0
1495840830.140443,679999,-75.0
1495846967.328858,699999,-51.0
1495853102.766152,719999,-68.0
1495859237.39816,739999,-61.0
1495865378.819062,759999,-48.0
1495871517.901289,779999,-50.0
1495877645.903435,799999,-52.0
1495883771.599103,819999,-61.0
1495889893.221747,839999,-64.0
1495896159.352034,859999,-50.0
1495902502.526176,879999,-55.0
1495908851.01709,899999,-46.0
1495915193.404879,919999,-80.0
1495921546.442336,939999,-49.0
1495927898.930488,959999,-45.0
1495934243.04888,979999,-51.0
1495940594.224971,999999,-74.0
1495946944.353754,1019999,-61.0
1495953287.554918,1039999,-42.0
1495959640.418388,1059999,-64.0
1495965948.024506,1079999,-52.0
1495972075.073159,1099999,-56.0
1495978071.692794,1119999,-51.0
1495984132.770426,1139999,-49.0
1495990285.462324,1159999,-48.0
1495996439.443898,1179999,-51.0
1496002590.966769,1199999,-54.0
1496008748.563882,1219999,-52.0
1496014897.607151,1239999,-60.0
1496021052.80948,1259999,-56.0
1496027210.121017,1279999,-56.0
1496033364.670622,1299999,-49.0
1496039517.685284,1319999,-54.0
1496045672.601608,1339999,-52.0
1496051803.219885,1359999,-55.0
1496057849.272826,1379999,-58.0
1496063914.01743,1399999,-56.0
1496070073.635464,1419999,-51.0
1496076261.26969,1439999,-53.0
1496082392.54165,1459999,-67.0
1496088515.841462,1479999,-51.0
1496094651.392684,1499999,-67.0
1496100808.255153,1519999,-58.0
1496106968.515724,1539999,-53.0
1496113138.081979,1559999,-74.0
1496119288.551143,1579999,-43.0
1496125454.094647,1599999,-89.0
1496131599.947256,1619999,-58.0
1496137755.057424,1639999,-58.0
1496143889.554466,1659999,-58.0
1496149955.512549,1679999,-72.0
1496156027.220481,1699999,-46.0
1496162209.068939,1719999,-43.0
1496168374.787711,1739999,-49.0
1496174526.965194,1759999,-56.0
1496180668.637095,1779999,-54.0
1496186845.322204,1799999,-58.0
1496193015.135433,1819999,-75.0
1496199151.584717,1839999,-43.0
1496205285.069981,1859999,-45.0
1496211427.235764,1879999,-64.0
1496217554.291303,1899999,-49.0
1496223704.190667,1919999,-45.0
1496229829.612443,1939999,-65.0
1496235995.972552,1959999,-51.0
1496242136.537083,1979999,-58.0
1496248266.455828,1999999,-42.0
1496254318.240482,2019999,-50.0
1496260436.357503,2039999,-69.0
1496266581.434546,2059999,-52.0
1496272758.306405,2079999,-43.0
1496278912.868969,2099999,-69.0
1496285094.645915,2119999,-54.0
1496291241.974596,2139999,-79.0
1496297356.419454,2159999,-44.0
1496303498.308185,2179999,-58.0
1496309640.320269,2199999,-43.0
1496315789.964586,2219999,-46.0
1496321938.59776,2239999,-54.0
1496328077.802228,2259999,-91.0
1496334212.85756,2279999,-49.0
1496340396.534602,2299999,-49.0
1496346790.319365,2319999,-55.0
1496353143.361506,2339999,-49.0
1496359340.097833,2359999,-46.0
1496365743.816259,2379999,-46.0
1496372038.745338,2399999,-59.0
1496378303.367057,2419999,-53.0
1496384739.333732,2439999,-49.0
