Wall time,Step,Value
1495649023.96916,39999,34.0
1495652194.251365,59999,34.0
1495655394.655088,79999,34.0
1495658607.630474,99999,33.0
1495661824.91718,119999,34.0
1495665039.62134,139999,34.0
1495668237.303218,159999,34.0
1495671356.485517,179999,34.0
1495674578.202963,199999,34.0
1495677862.95664,219999,34.0
1495681167.46569,239999,34.0
1495684474.369998,259999,34.0
1495687764.645378,279999,33.0
1495690969.845008,299999,34.0
1495694048.654566,319999,34.0
1495697052.045414,339999,34.0
1495699982.429325,359999,34.0
1495702841.323255,379999,33.0
1495705609.437358,399999,34.0
1495708317.515854,419999,34.0
1495710998.625852,439999,34.0
1495713614.039927,459999,34.0
1495716199.10035,479999,33.0
1495718775.117962,499999,34.0
1495721323.919504,519999,34.0
1495723862.940281,539999,34.0
1495726396.286053,559999,34.0
1495728929.239115,579999,33.0
1495731456.445613,599999,34.0
1495733978.130599,619999,34.0
1495736502.724771,639999,34.0
1495739027.877286,659999,34.0
1495741545.079552,679999,33.0
1495744060.609957,699999,34.0
1495746579.907765,719999,34.0
1495749093.342095,739999,34.0
1495751600.850777,759999,34.0
1495754103.492833,779999,33.0
1495756604.214961,799999,34.0
1495759103.106476,819999,34.0
1495761597.927925,839999,34.0
1495764087.691744,859999,34.0
1495766580.502703,879999,33.0
1495769072.829072,899999,34.0
1495771566.341857,919999,34.0
1495774060.471845,939999,34.0
1495776552.961958,959999,33.0
1495779042.906577,979999,34.0
1495781535.663289,999999,34.0
1495784029.09084,1019999,34.0
1495786521.571213,1039999,34.0
1495789016.72072,1059999,33.0
1495791514.699625,1079999,34.0
1495794014.775639,1099999,34.0
1495796519.641431,1119999,34.0
1495799025.842513,1139999,34.0
1495801532.549678,1159999,33.0
1495804036.837048,1179999,34.0
1495806544.687185,1199999,34.0
1495809052.959797,1219999,34.0
1495811560.908262,1239999,34.0
1495814061.355295,1259999,33.0
1495816559.856017,1279999,34.0
1495819060.832141,1299999,34.0
1495821561.442531,1319999,34.0
1495824056.717275,1339999,34.0
1495826557.234844,1359999,33.0
1495829055.490171,1379999,34.0
1495831548.018914,1399999,34.0
1495834044.435093,1419999,34.0
1495836541.796449,1439999,34.0
1495839039.412504,1459999,33.0
1495841537.703112,1479999,34.0
1495844036.438466,1499999,34.0
1495846533.71832,1519999,34.0
1495849032.989029,1539999,34.0
1495851530.842247,1559999,33.0
1495854029.970686,1579999,34.0
1495856525.551061,1599999,34.0
1495859019.784985,1619999,34.0
1495861517.936293,1639999,34.0
1495864014.726896,1659999,33.0
1495866508.7145,1679999,34.0
1495869006.706163,1699999,34.0
1495871508.516149,1719999,34.0
1495874010.852547,1739999,34.0
1495876520.429047,1759999,33.0
1495879034.305113,1779999,34.0
1495881552.73681,1799999,34.0
1495884064.825403,1819999,34.0
1495886578.336028,1839999,34.0
1495889088.023558,1859999,34.0
1495891600.110027,1879999,33.0
1495894113.777947,1899999,34.0
1495896643.656844,1919999,34.0
1495899167.839119,1939999,34.0
1495901694.474764,1959999,34.0
1495904215.528818,1979999,34.0
1495906735.035013,1999999,33.0
1495909255.297307,2019999,34.0
1495911773.682064,2039999,34.0
1495914294.532846,2059999,34.0
1495916816.347952,2079999,34.0
1495919345.634655,2099999,33.0
1495921875.050686,2119999,34.0
1495924407.936213,2139999,34.0
1495926935.497096,2159999,34.0
1495929463.433288,2179999,34.0
1495931988.971243,2199999,34.0
1495934521.980897,2219999,33.0
1495937057.349279,2239999,34.0
1495939593.491883,2259999,34.0
1495942135.595975,2279999,34.0
1495944676.138779,2299999,34.0
1495947213.688994,2319999,33.0
1495949753.18975,2339999,34.0
1495952299.058583,2359999,34.0
1495954846.270121,2379999,34.0
1495957390.502384,2399999,34.0
1495959933.588301,2419999,34.0
1495962479.6823,2439999,33.0
1495965027.645127,2459999,34.0
1495967576.026467,2479999,34.0
1495970123.813744,2499999,34.0
1495972670.138572,2519999,34.0
1495975219.31088,2539999,33.0
1495977771.277157,2559999,34.0
1495980320.285221,2579999,34.0
1495982867.681974,2599999,34.0
1495985422.040259,2619999,34.0
1495987975.528039,2639999,33.0
1495990529.772266,2659999,34.0
1495993082.601125,2679999,34.0
1495995638.555388,2699999,34.0
1495998188.666036,2719999,34.0
1496000737.693692,2739999,33.0
1496003284.914433,2759999,34.0
1496005833.963583,2779999,34.0
1496008387.370377,2799999,34.0
1496010940.383272,2819999,34.0
1496013498.269904,2839999,33.0
1496016059.087333,2859999,34.0
1496018620.522458,2879999,34.0
