Wall time,Step,Value
1495649023.968327,39999,7.0
1495652194.250498,59999,26.0
1495655394.654263,79999,1.0
1495658607.629649,99999,1.0
1495661824.916366,119999,2.0
1495665039.620514,139999,-1.0
1495668237.302393,159999,-7.0
1495671356.484684,179999,-8.0
1495674578.202143,199999,4.0
1495677862.955816,219999,-4.0
1495681167.464873,239999,-2.0
1495684474.369172,259999,-6.0
1495687764.644556,279999,-6.0
1495690969.844197,299999,-2.0
1495694048.653747,319999,-4.0
1495697052.044585,339999,-2.0
1495699982.428505,359999,4.0
1495702841.322445,379999,1.0
1495705609.436522,399999,2.0
1495708317.515053,419999,7.0
1495710998.625058,439999,12.0
1495713614.039132,459999,12.0
1495716199.099534,479999,9.0
1495718775.11716,499999,20.0
1495721323.918692,519999,25.0
1495723862.939471,539999,19.0
1495726396.285238,559999,26.0
1495728929.238309,579999,27.0
1495731456.444785,599999,27.0
1495733978.129788,619999,36.0
1495736502.72395,639999,32.0
1495739027.876482,659999,38.0
1495741545.078728,679999,36.0
1495744060.609149,699999,35.0
1495746579.906958,719999,44.0
1495749093.341281,739999,40.0
1495751600.849977,759999,39.0
1495754103.492031,779999,46.0
1495756604.214151,799999,46.0
1495759103.10566,819999,46.0
1495761597.927128,839999,43.0
1495764087.690943,859999,33.0
1495766580.5019,879999,42.0
1495769072.828257,899999,38.0
1495771566.341044,919999,34.0
1495774060.471039,939999,38.0
1495776552.961134,959999,37.0
1495779042.905764,979999,33.0
1495781535.662481,999999,54.0
1495784029.090048,1019999,51.0
1495786521.570406,1039999,41.0
1495789016.719911,1059999,36.0
1495791514.698792,1079999,45.0
1495794014.774809,1099999,56.0
1495796519.640613,1119999,46.0
1495799025.841697,1139999,47.0
1495801532.548864,1159999,58.0
1495804036.836232,1179999,46.0
1495806544.686379,1199999,46.0
1495809052.958996,1219999,50.0
1495811560.90745,1239999,46.0
1495814061.354468,1259999,51.0
1495816559.855198,1279999,54.0
1495819060.831327,1299999,65.0
1495821561.441716,1319999,58.0
1495824056.71646,1339999,46.0
1495826557.23403,1359999,59.0
1495829055.48935,1379999,52.0
1495831548.0181,1399999,48.0
1495834044.43429,1419999,61.0
1495836541.795632,1439999,59.0
1495839039.411686,1459999,55.0
1495841537.702299,1479999,63.0
1495844036.437653,1499999,58.0
1495846533.717506,1519999,60.0
1495849032.988218,1539999,56.0
1495851530.841439,1559999,75.0
1495854029.969875,1579999,81.0
1495856525.550249,1599999,58.0
1495859019.784174,1619999,65.0
1495861517.935479,1639999,78.0
