Wall time,Step,Value
1495649003.310944,39999,-22.0
1495652169.292207,59999,-26.0
1495655378.785892,79999,-23.0
1495658610.338351,99999,-35.0
1495661856.019608,119999,-52.0
1495665101.209009,139999,-53.0
1495668260.536625,159999,-58.0
1495671417.725374,179999,-93.0
1495674667.07174,199999,-50.0
1495677959.459765,219999,-56.0
1495681271.694095,239999,-52.0
1495684576.317453,259999,-48.0
1495687831.590173,279999,-65.0
1495690991.932466,299999,-57.0
1495694098.291653,319999,-45.0
1495697168.261378,339999,-89.0
1495700197.013014,359999,-47.0
1495703119.55273,379999,-44.0
1495706017.755053,399999,-40.0
1495708846.940996,419999,-34.0
1495711573.704809,439999,-20.0
1495714232.288477,459999,-16.0
1495716845.227877,479999,-16.0
1495719412.530329,499999,-9.0
1495721968.997111,519999,-13.0
1495724515.585016,539999,-22.0
1495727059.572131,559999,-8.0
1495729590.841389,579999,-5.0
1495732117.769088,599999,-3.0
1495734634.979117,619999,-8.0
1495737149.459215,639999,-3.0
1495739673.122547,659999,-6.0
1495742192.965408,679999,-3.0
1495744713.542676,699999,-3.0
1495747241.079643,719999,1.0
1495749767.590972,739999,-2.0
1495752291.086342,759999,-4.0
1495754810.026814,779999,3.0
1495757326.482987,799999,-4.0
1495759839.460947,819999,-3.0
1495762346.282004,839999,-7.0
1495764851.328294,859999,-3.0
1495767360.422062,879999,0.0
1495769866.754754,899999,1.0
1495772371.841789,919999,9.0
1495774879.148649,939999,3.0
1495777385.691514,959999,0.0
1495779893.511053,979999,-25.0
1495782402.334422,999999,-7.0
1495784908.024632,1019999,-2.0
1495787412.810262,1039999,5.0
1495789917.348598,1059999,-11.0
1495792421.228494,1079999,6.0
1495794927.114963,1099999,2.0
1495797434.353912,1119999,11.0
1495799939.83265,1139999,1.0
1495802448.576431,1159999,-3.0
1495804957.335132,1179999,-1.0
1495807466.342004,1199999,5.0
1495809973.075879,1219999,-3.0
1495812480.487278,1239999,11.0
1495814987.329017,1259999,4.0
1495817495.476769,1279999,17.0
1495820008.511967,1299999,7.0
1495822525.707133,1319999,11.0
1495825029.975321,1339999,21.0
1495827535.761265,1359999,-1.0
1495830042.457289,1379999,17.0
1495832545.536154,1399999,8.0
1495835048.117951,1419999,23.0
1495837548.773219,1439999,17.0
1495840047.334592,1459999,-3.0
1495842547.429674,1479999,7.0
1495845049.504,1499999,20.0
1495847547.238644,1519999,6.0
1495850048.858759,1539999,7.0
1495852562.445661,1559999,23.0
1495855078.852723,1579999,6.0
1495857594.092704,1599999,6.0
1495860109.872771,1619999,22.0
1495862625.913659,1639999,9.0
1495865143.756264,1659999,27.0
1495867658.267287,1679999,7.0
1495870173.487668,1699999,9.0
1495872690.911073,1719999,19.0
1495875209.963764,1739999,18.0
1495877730.708681,1759999,4.0
1495880245.503371,1779999,-18.0
1495882761.791907,1799999,4.0
1495885277.772968,1819999,15.0
1495887795.106401,1839999,4.0
1495890315.083924,1859999,16.0
1495892839.932713,1879999,14.0
1495895369.26147,1899999,-1.0
1495897898.90792,1919999,13.0
1495900427.091341,1939999,-14.0
1495902957.499873,1959999,6.0
1495905488.366825,1979999,-1.0
1495908017.984674,1999999,11.0
1495910548.100843,2019999,11.0
1495913078.810814,2039999,9.0
1495915612.153603,2059999,0.0
1495918145.008823,2079999,13.0
1495920678.08414,2099999,13.0
1495923216.673064,2119999,9.0
1495925754.234974,2139999,25.0
1495928293.552019,2159999,16.0
1495930835.165382,2179999,17.0
1495933380.126031,2199999,7.0
1495935928.438166,2219999,0.0
1495938473.041517,2239999,6.0
1495941017.833519,2259999,13.0
1495943560.071909,2279999,21.0
1495946100.599529,2299999,8.0
1495948634.579672,2319999,9.0
1495951163.364867,2339999,13.0
1495953688.273606,2359999,-3.0
1495956212.82821,2379999,9.0
1495958739.033396,2399999,4.0
1495961275.551049,2419999,29.0
1495963820.26696,2439999,23.0
1495966361.216624,2459999,22.0
1495968910.040144,2479999,13.0
1495971458.657851,2499999,2.0
1495974006.875048,2519999,6.0
1495976554.012197,2539999,16.0
1495979101.862032,2559999,13.0
1495981650.829151,2579999,22.0
1495984196.334214,2599999,22.0
1495986739.446099,2619999,3.0
1495989285.835753,2639999,5.0
1495991830.837481,2659999,24.0
1495994375.194895,2679999,25.0
1495996919.254053,2699999,17.0
1495999466.069578,2719999,12.0
1496002013.61496,2739999,6.0
1496004559.360643,2759999,8.0
1496007106.713022,2779999,16.0
1496009653.546357,2799999,17.0
1496012203.428349,2819999,15.0
1496014749.116744,2839999,4.0
