Wall time,Step,Value
1495649328.664388,39999,34.0
1495653310.229601,59999,34.0
1495657899.157937,79999,34.0
1495663130.7067,99999,34.0
1495668708.115208,119999,33.0
1495674343.489566,139999,34.0
1495679973.268047,159999,34.0
1495685595.898849,179999,34.0
1495691237.27467,199999,34.0
1495696869.763469,219999,34.0
1495702473.227394,239999,33.0
1495708111.442467,259999,34.0
1495713757.510957,279999,34.0
1495719342.493684,299999,34.0
1495724933.322953,319999,33.0
1495730436.612744,339999,34.0
1495735959.991373,359999,35.0
1495741552.368363,379999,33.0
1495747168.200348,399999,34.0
1495752802.944514,419999,34.0
1495758447.158683,439999,34.0
1495764093.452726,459999,34.0
1495769746.46066,479999,34.0
1495775402.324633,499999,33.0
1495781072.228458,519999,34.0
1495786730.829508,539999,34.0
1495792375.876261,559999,34.0
1495798006.358159,579999,33.0
1495803642.39087,599999,34.0
1495809275.072496,619999,34.0
1495814909.307891,639999,34.0
1495820571.873755,659999,34.0
1495826233.501504,679999,34.0
1495831897.155765,699999,33.0
1495837556.54607,719999,34.0
1495843228.192804,739999,34.0
1495848909.733556,759999,34.0
1495854572.749983,779999,34.0
1495860239.090202,799999,33.0
1495865902.577728,819999,34.0
1495871574.272173,839999,34.0
1495877237.378682,859999,34.0
1495882904.877747,879999,33.0
1495888579.519711,899999,34.0
1495894242.003623,919999,34.0
1495899908.550177,939999,34.0
1495905573.805603,959999,34.0
1495911219.372238,979999,33.0
1495916841.823903,999999,34.0
1495922460.169232,1019999,34.0
1495928083.95549,1039999,34.0
1495933711.028837,1059999,34.0
1495939338.429943,1079999,34.0
1495944962.543109,1099999,33.0
1495950585.694809,1119999,34.0
1495956209.333165,1139999,34.0
1495961830.838953,1159999,34.0
1495967453.803651,1179999,34.0
1495973077.553209,1199999,33.0
1495978702.822472,1219999,34.0
1495984328.843183,1239999,34.0
1495989953.585694,1259999,34.0
1495995662.666309,1279999,34.0
1496001404.44092,1299999,33.0
1496007142.237198,1319999,34.0
1496012881.5798,1339999,34.0
1496018622.5605,1359999,34.0
1496024360.970827,1379999,34.0
1496030097.141754,1399999,33.0
1496035832.770677,1419999,34.0
1496041569.246706,1439999,34.0
1496047307.026293,1459999,34.0
1496053044.943659,1479999,34.0
1496058776.82989,1499999,33.0
1496064512.875778,1519999,34.0
1496070251.420397,1539999,34.0
1496075985.5247,1559999,34.0
1496081726.516132,1579999,34.0
1496087463.863656,1599999,33.0
1496093201.229683,1619999,34.0
1496098941.296296,1639999,34.0
1496104681.206899,1659999,34.0
1496110419.524734,1679999,33.0
1496116155.000121,1699999,34.0
1496121891.050971,1719999,34.0
1496127629.542584,1739999,34.0
1496133377.623238,1759999,34.0
1496139132.32983,1779999,34.0
1496144888.220059,1799999,34.0
1496150643.719678,1819999,34.0
1496156399.672706,1839999,33.0
1496162127.672863,1859999,34.0
1496167854.794743,1879999,34.0
1496173576.661998,1899999,34.0
1496179303.301071,1919999,34.0
1496185027.198961,1939999,33.0
1496190749.328143,1959999,34.0
1496196471.988608,1979999,34.0
1496202192.835151,1999999,34.0
1496207915.493653,2019999,34.0
1496213635.93361,2039999,33.0
1496219356.150213,2059999,34.0
1496225076.332986,2079999,34.0
1496230789.312123,2099999,34.0
1496236509.023045,2119999,33.0
1496242228.039956,2139999,34.0
1496247952.694559,2159999,34.0
1496253677.473892,2179999,34.0
1496259434.743029,2199999,34.0
1496265190.778091,2219999,34.0
1496270949.103079,2239999,33.0
1496276678.493914,2259999,34.0
1496282396.818157,2279999,34.0
1496288108.058379,2299999,34.0
1496293819.600138,2319999,34.0
1496299532.000092,2339999,33.0
1496305238.49626,2359999,34.0
1496310946.580993,2379999,34.0
1496316655.31756,2399999,34.0
1496322401.087823,2419999,33.0
1496328151.541928,2439999,34.0
1496333897.901169,2459999,34.0
1496339647.224922,2479999,34.0
1496345384.182482,2499999,34.0
1496351119.528853,2519999,34.0
1496356848.731009,2539999,33.0
1496362580.064545,2559999,34.0
1496368317.067245,2579999,34.0
1496374052.815587,2599999,34.0
1496379791.017744,2619999,33.0
1496385522.741326,2639999,34.0
