Wall time,Step,Value
1495649380.583835,39999,-3.411764621734619
1495653397.498535,59999,-6.382352828979492
1495658012.972183,79999,-7.058823585510254
1495663275.104903,99999,-14.882352828979492
1495668911.843846,119999,-22.303030014038086
1495674588.86749,139999,-27.705883026123047
1495680281.589143,159999,-28.794116973876953
1495685982.836615,179999,-25.5
1495691679.619511,199999,-24.647058486938477
1495697393.175479,219999,-20.264705657958984
1495703072.770343,239999,-20.696969985961914
1495708761.616793,259999,-20.294116973876953
1495714427.618534,279999,-23.058822631835938
1495720067.689567,299999,-38.588233947753906
1495725795.059877,319999,-28.558822631835938
1495731544.025404,339999,-27.705883026123047
1495737305.741209,359999,-21.727272033691406
1495743074.394203,379999,-21.47058868408203
1495748855.82191,399999,-23.117647171020508
1495754654.827974,419999,-28.323530197143555
1495760467.664222,439999,-24.91176414489746
1495766270.048249,459999,-24.735294342041016
1495772088.833432,479999,-24.454545974731445
1495777903.013468,499999,-24.294116973876953
1495783711.73139,519999,-21.352941513061523
1495789534.056685,539999,-23.58823585510254
1495795355.167716,559999,-24.91176414489746
1495801176.315187,579999,-21.147058486938477
1495806959.425913,599999,-21.484848022460938
1495812767.654507,619999,-22.882352828979492
1495818586.094327,639999,-22.58823585510254
1495824401.473152,659999,-21.235294342041016
1495830216.173494,679999,-22.235294342041016
1495836041.080433,699999,-28.81818199157715
1495841857.876761,719999,-27.941177368164062
1495847670.428059,739999,-21.882352828979492
1495853492.697802,759999,-24.97058868408203
1495859309.507562,779999,-27.235294342041016
1495865125.86544,799999,-26.606060028076172
1495870948.966887,819999,-21.91176414489746
1495876770.950496,839999,-20.08823585510254
1495882581.804527,859999,-25.764705657958984
1495888402.73812,879999,-24.235294342041016
1495894221.906785,899999,-25.515151977539062
1495899999.636039,919999,-25.647058486938477
1495905713.296906,939999,-23.441177368164062
1495911430.21936,959999,-23.117647171020508
1495917128.046516,979999,-26.058822631835938
1495922789.900845,999999,-26.303030014038086
1495928470.207117,1019999,-23.558822631835938
1495934185.131334,1039999,-26.823530197143555
1495939905.816652,1059999,-23.735294342041016
1495945623.704824,1079999,-26.0
1495951333.772038,1099999,-25.41176414489746
1495957043.379116,1119999,-28.941177368164062
1495962752.45408,1139999,-32.02941131591797
1495968467.676608,1159999,-26.735294342041016
1495974179.870877,1179999,-24.0
1495979894.615805,1199999,-20.823530197143555
1495985609.325231,1219999,-24.764705657958984
1495991324.014395,1239999,-22.294116973876953
1495997036.23532,1259999,-22.08823585510254
1496002732.162696,1279999,-23.852941513061523
1496008393.547542,1299999,-19.24242401123047
1496014058.664337,1319999,-22.47058868408203
1496019773.041392,1339999,-20.235294342041016
1496025484.834611,1359999,-22.647058486938477
1496031203.463221,1379999,-28.705883026123047
1496036921.966434,1399999,-24.363636016845703
1496042635.732289,1419999,-24.764705657958984
1496048351.602133,1439999,-24.205883026123047
1496054065.908348,1459999,-23.08823585510254
1496059779.417994,1479999,-24.393939971923828
1496065494.775988,1499999,-24.352941513061523
1496071274.445285,1519999,-23.882352828979492
1496077278.638966,1539999,-24.147058486938477
1496083267.908487,1559999,-29.0
1496088983.057953,1579999,-25.91176414489746
1496094696.815146,1599999,-24.090909957885742
1496100416.673894,1619999,-24.294116973876953
1496106219.305147,1639999,-20.852941513061523
1496112025.353814,1659999,-27.147058486938477
1496117830.642486,1679999,-27.08823585510254
1496123644.09779,1699999,-22.147058486938477
1496129472.51891,1719999,-26.393939971923828
1496135300.300833,1739999,-25.58823585510254
1496141139.929975,1759999,-18.58823585510254
1496146992.347303,1779999,-24.647058486938477
1496152838.911536,1799999,-19.823530197143555
1496158594.605345,1819999,-25.47058868408203
1496164305.178558,1839999,-28.33333396911621
1496169993.494493,1859999,-22.47058868408203
1496175675.354843,1879999,-24.617647171020508
1496181459.853219,1899999,-29.294116973876953
1496187243.315943,1919999,-25.58823585510254
1496193018.19061,1939999,-23.060606002807617
1496198784.805895,1959999,-30.764705657958984
1496204554.497955,1979999,-26.02941131591797
1496210321.810259,1999999,-26.205883026123047
1496216090.192662,2019999,-27.117647171020508
1496221860.477639,2039999,-23.91176414489746
1496227612.416342,2059999,-25.352941513061523
1496233367.775631,2079999,-23.0
1496239128.854792,2099999,-23.090909957885742
1496244887.538335,2119999,-22.5
1496250645.373599,2139999,-24.41176414489746
1496256404.949858,2159999,-27.52941131591797
1496262166.830784,2179999,-27.617647171020508
1496267929.272359,2199999,-22.515151977539062
1496273685.449943,2219999,-22.294116973876953
1496279445.906514,2239999,-25.205883026123047
1496285200.435695,2259999,-22.647058486938477
1496290959.730625,2279999,-22.558822631835938
1496296721.027097,2299999,-26.42424201965332
1496302368.898867,2319999,-21.117647171020508
1496308047.852162,2339999,-24.058822631835938
1496313734.797596,2359999,-24.941177368164062
1496319425.045851,2379999,-21.676469802856445
1496325117.489649,2399999,-26.0
1496330811.337001,2419999,-23.323530197143555
1496336513.299583,2439999,-22.382352828979492
1496342212.487176,2459999,-25.41176414489746
1496347921.47715,2479999,-23.941177368164062
1496353618.520666,2499999,-25.212121963500977
1496359306.997835,2519999,-25.235294342041016
1496364992.45273,2539999,-25.41176414489746
1496370682.146223,2559999,-24.764705657958984
1496376374.891347,2579999,-27.08823585510254
1496382070.036179,2599999,-23.882352828979492
1496387765.657229,2619999,-32.17647171020508
