Wall time,Step,Value
1495649380.595774,39999,11.0
1495653397.508412,59999,6.0
1495658012.999117,79999,4.0
1495663275.115885,99999,2.0
1495668911.855189,119999,-7.0
1495674588.878691,139999,-2.0
1495680281.599643,159999,-8.0
1495685982.84748,179999,-3.0
1495691679.630347,199999,-6.0
1495697393.185356,219999,-6.0
1495703072.819518,239999,0.0
1495708761.627524,259999,-7.0
1495714427.628466,279999,-3.0
1495720067.700481,299999,-13.0
1495725795.071816,319999,-7.0
1495731544.04401,339999,-1.0
1495737305.75217,359999,-3.0
1495743074.405769,379999,0.0
1495748855.832011,399999,-4.0
1495754654.838709,419999,-7.0
1495760467.675339,439999,-3.0
1495766270.059679,459999,-6.0
1495772088.845819,479999,-7.0
1495777903.024229,499999,-1.0
1495783711.74134,519999,0.0
1495789534.068597,539999,-2.0
1495795355.177862,559999,-9.0
1495801176.32603,579999,-5.0
1495806959.435464,599999,-9.0
1495812767.66525,619999,-4.0
1495818586.105303,639999,-6.0
1495824401.483308,659999,-4.0
1495830216.184382,679999,-5.0
1495836041.090616,699999,-9.0
1495841857.887777,719999,-3.0
1495847670.437997,739999,1.0
1495853492.70946,759999,-5.0
1495859309.518358,779999,2.0
1495865125.876541,799999,-4.0
1495870948.977516,819999,1.0
1495876770.961357,839999,-2.0
1495882581.815293,859999,-4.0
1495888402.748824,879999,-6.0
1495894221.917628,899999,-8.0
1495899999.645887,919999,-2.0
1495905713.306855,939999,-5.0
1495911430.23005,959999,-7.0
1495917128.059229,979999,-7.0
1495922789.911794,999999,-5.0
1495928470.217826,1019999,0.0
1495934185.142228,1039999,-1.0
1495939905.827529,1059999,-5.0
1495945623.715338,1079999,-6.0
1495951333.781643,1099999,-8.0
1495957043.388822,1119999,-1.0
1495962752.464308,1139999,-8.0
1495968467.687601,1159999,-6.0
1495974179.881082,1179999,-8.0
1495979894.626421,1199999,0.0
1495985609.335911,1219999,-11.0
1495991324.02496,1239999,-1.0
1495997036.245796,1259999,-6.0
1496002732.173376,1279999,-5.0
1496008393.558182,1299999,-7.0
1496014058.674843,1319999,0.0
1496019773.052293,1339999,-5.0
1496025484.845346,1359999,-5.0
1496031203.474339,1379999,-9.0
1496036921.977023,1399999,-7.0
1496042635.74306,1419999,1.0
1496048351.612995,1439999,-5.0
1496054065.91889,1459999,-8.0
1496059779.42839,1479999,-9.0
1496065494.786694,1499999,-2.0
1496071274.45636,1519999,-3.0
1496077278.649163,1539999,-9.0
1496083267.919319,1559999,-6.0
1496088983.069119,1579999,-3.0
1496094696.826107,1599999,-3.0
1496100416.684516,1619999,0.0
1496106219.315932,1639999,0.0
1496112025.364587,1659999,-7.0
1496117830.6532,1679999,-4.0
1496123644.108437,1699999,-7.0
1496129472.530419,1719999,-1.0
1496135300.311782,1739999,-1.0
1496141139.940469,1759999,-6.0
1496146992.3585,1779999,-3.0
1496152838.922987,1799999,-4.0
1496158594.617475,1819999,-3.0
1496164305.189199,1839999,-12.0
1496169993.505082,1859999,0.0
1496175675.365874,1879999,-6.0
1496181459.864044,1899999,-7.0
1496187243.326096,1919999,-8.0
1496193018.201632,1939999,-4.0
1496198784.816893,1959999,0.0
1496204554.508975,1979999,-5.0
1496210321.821059,1999999,-3.0
1496216090.203587,2019999,-6.0
1496221860.48818,2039999,0.0
1496227612.427357,2059999,0.0
1496233367.786765,2079999,-2.0
1496239128.869097,2099999,-8.0
1496244887.548704,2119999,0.0
1496250645.385673,2139999,-6.0
1496256404.960723,2159999,-4.0
1496262166.842014,2179999,-9.0
1496267929.282449,2199999,-3.0
1496273685.46106,2219999,1.0
1496279445.917349,2239999,-6.0
1496285200.446686,2259999,-4.0
1496290959.753786,2279999,-8.0
1496296721.037978,2299999,-8.0
1496302368.909869,2319999,0.0
1496308047.86299,2339999,-4.0
1496313734.808706,2359999,-3.0
1496319425.057021,2379999,-7.0
1496325117.500545,2399999,-6.0
1496330811.346902,2419999,2.0
1496336513.310586,2439999,-5.0
1496342212.498377,2459999,-1.0
1496347921.488397,2479999,-10.0
1496353618.531506,2499999,-4.0
1496359307.007841,2519999,0.0
1496364992.463613,2539999,-6.0
1496370682.156872,2559999,-5.0
1496376374.901257,2579999,-8.0
1496382070.047176,2599999,-6.0
