Wall time,Step,Value
1495649573.001867,39999,-26.0
1495653864.743002,59999,-19.0
1495658767.251292,79999,-36.0
1495664368.76276,99999,-44.0
1495670350.38911,119999,-45.0
1495676209.879719,139999,-55.0
1495682125.706961,159999,-58.0
1495688149.424749,179999,-47.0
1495694164.745189,199999,-64.0
1495700085.192106,219999,-43.0
1495706052.150779,239999,-46.0
1495712103.684138,259999,-50.0
1495718007.563444,279999,-51.0
1495723894.047736,299999,-52.0
1495729730.476068,319999,-96.0
1495735637.649174,339999,-93.0
1495741538.287694,359999,-63.0
1495747453.958916,379999,-53.0
1495753467.993184,399999,-52.0
1495759428.776422,419999,-65.0
1495765375.996434,439999,-56.0
1495771409.997904,459999,-59.0
1495777551.768621,479999,-67.0
1495783589.304124,499999,-39.0
1495789602.502747,519999,-44.0
1495795683.982021,539999,-52.0
1495801779.534131,559999,-48.0
1495807820.052386,579999,-47.0
1495813846.156103,599999,-66.0
1495819922.410235,619999,-49.0
1495825964.041924,639999,-43.0
1495832008.197128,659999,-44.0
1495837948.640385,679999,-47.0
1495843926.154569,699999,-85.0
1495849883.606193,719999,-65.0
1495855779.953712,739999,-62.0
1495861690.629796,759999,-50.0
1495867531.407612,779999,-63.0
1495873400.274859,799999,-67.0
1495879354.700165,819999,-43.0
1495885327.147938,839999,-57.0
1495891198.462713,859999,-48.0
1495897158.94729,879999,-66.0
1495903149.65048,899999,-40.0
1495909112.376249,919999,-73.0
1495915026.671932,939999,-47.0
1495920972.924527,959999,-52.0
1495927017.571088,979999,-63.0
1495932955.64659,999999,-49.0
1495939022.521071,1019999,-43.0
1495945038.213867,1039999,-52.0
1495951050.433744,1059999,-66.0
1495957025.730138,1079999,-59.0
1495962946.385866,1099999,-58.0
1495968965.367702,1119999,-41.0
1495974945.313984,1139999,-46.0
1495981037.152445,1159999,-46.0
1495987014.752486,1179999,-51.0
1495993087.255086,1199999,-90.0
1495998998.956011,1219999,-62.0
1496004890.402727,1239999,-38.0
1496010857.474368,1259999,-53.0
1496016866.598742,1279999,-43.0
1496022952.340505,1299999,-54.0
1496029003.932401,1319999,-52.0
1496035098.246267,1339999,-48.0
1496041160.280648,1359999,-84.0
1496047203.247651,1379999,-51.0
1496053366.271514,1399999,-50.0
1496059328.209234,1419999,-49.0
1496065338.983731,1439999,-53.0
1496071296.375724,1459999,-45.0
1496077440.559918,1479999,-56.0
1496083529.492849,1499999,-59.0
1496089496.487366,1519999,-65.0
1496095449.524805,1539999,-74.0
1496101483.917293,1559999,-47.0
1496107600.968863,1579999,-60.0
1496113614.671623,1599999,-53.0
1496119629.321846,1619999,-59.0
1496125682.374145,1639999,-52.0
1496131877.528266,1659999,-59.0
1496137921.187483,1679999,-51.0
1496143954.346655,1699999,-46.0
1496149964.244921,1719999,-75.0
1496156065.863063,1739999,-45.0
1496162261.14221,1759999,-58.0
1496168306.799389,1779999,-38.0
1496174373.12473,1799999,-40.0
1496180374.726625,1819999,-55.0
1496186499.30546,1839999,-43.0
1496192519.683211,1859999,-47.0
1496198541.81767,1879999,-39.0
1496204548.085032,1899999,-35.0
1496210551.466858,1919999,-77.0
1496216517.320548,1939999,-53.0
1496222517.789074,1959999,-46.0
1496228566.487907,1979999,-48.0
1496234603.915478,1999999,-48.0
1496240661.48618,2019999,-52.0
1496246679.682285,2039999,-55.0
1496252717.597279,2059999,-59.0
1496258771.439107,2079999,-33.0
1496264831.232526,2099999,-53.0
1496270889.263,2119999,-49.0
1496276902.53223,2139999,-43.0
1496282957.119916,2159999,-59.0
1496289006.928582,2179999,-44.0
1496295046.835972,2199999,-46.0
1496301084.700456,2219999,-40.0
1496307116.748855,2239999,-38.0
1496313151.599773,2259999,-66.0
1496319153.558347,2279999,-47.0
1496325185.593709,2299999,-54.0
1496331083.658769,2319999,-59.0
1496336725.026972,2339999,-52.0
1496342349.101659,2359999,-61.0
1496347962.757264,2379999,-60.0
1496353572.12927,2399999,-44.0
1496359186.002962,2419999,-79.0
1496364805.95903,2439999,-49.0
1496370419.242094,2459999,-52.0
1496376030.20516,2479999,-44.0
1496381693.400795,2499999,-47.0
