Wall time,Step,Value
1495648649.26222,39999,4.0
1495651499.56933,59999,13.0
1495654383.440769,79999,9.0
1495657249.357032,99999,0.0
1495660114.600837,119999,-1.0
1495662981.524236,139999,0.0
1495665844.013301,159999,-3.0
1495668715.661438,179999,-3.0
1495671590.795241,199999,-9.0
1495674458.920035,219999,-11.0
1495677211.984008,239999,-8.0
1495679760.29773,259999,0.0
1495682208.421573,279999,8.0
1495684543.595356,299999,16.0
1495686827.133727,319999,10.0
1495689104.526408,339999,20.0
1495691381.34562,359999,23.0
1495693627.602642,379999,13.0
1495695862.554075,399999,24.0
1495698108.157997,419999,18.0
1495700378.961976,439999,29.0
1495702589.546695,459999,34.0
1495704796.921998,479999,27.0
1495707039.024216,499999,36.0
1495709271.239778,519999,36.0
1495711521.157689,539999,39.0
1495713762.614966,559999,44.0
1495716004.980354,579999,39.0
1495718215.980597,599999,50.0
1495720427.230524,619999,44.0
1495722686.115971,639999,41.0
1495724970.621568,659999,28.0
1495727210.794846,679999,38.0
1495729439.865408,699999,34.0
1495731677.761112,719999,43.0
1495733897.937503,739999,38.0
1495736108.284887,759999,42.0
1495738340.840315,779999,41.0
1495740570.540904,799999,42.0
1495742764.510712,819999,42.0
1495744988.757165,839999,38.0
1495747205.492892,859999,38.0
1495749426.883175,879999,33.0
1495751604.827566,899999,40.0
1495753774.810929,919999,52.0
1495755934.865651,939999,44.0
1495758090.834463,959999,44.0
1495760234.779137,979999,42.0
1495762374.899887,999999,50.0
1495764508.668364,1019999,39.0
1495766642.439168,1039999,57.0
1495768801.757353,1059999,60.0
1495770954.084182,1079999,51.0
1495773143.326064,1099999,65.0
1495775288.6888,1119999,53.0
1495777423.900864,1139999,55.0
1495779563.54776,1159999,60.0
1495781701.539543,1179999,59.0
1495783836.755969,1199999,65.0
1495785980.109996,1219999,57.0
1495788127.081659,1239999,64.0
1495790268.148882,1259999,59.0
1495792430.317624,1279999,54.0
1495794594.547373,1299999,63.0
1495796805.442904,1319999,57.0
1495798982.401219,1339999,57.0
1495801143.759875,1359999,61.0
1495803292.724566,1379999,53.0
1495805437.355782,1399999,68.0
1495807591.312234,1419999,52.0
1495809744.26139,1439999,49.0
1495811902.151578,1459999,62.0
1495814058.042938,1479999,53.0
1495816226.718574,1499999,52.0
1495818410.172431,1519999,61.0
1495820625.487568,1539999,55.0
1495822813.411204,1559999,54.0
1495824966.489264,1579999,73.0
1495827123.844398,1599999,59.0
1495829275.977689,1619999,57.0
1495831432.962557,1639999,61.0
1495833592.237009,1659999,72.0
1495835755.457986,1679999,53.0
1495837924.027737,1699999,67.0
1495840100.591839,1719999,60.0
1495842290.43511,1739999,54.0
1495844506.589758,1759999,56.0
1495846712.823822,1779999,65.0
1495848892.458227,1799999,50.0
1495851068.629299,1819999,51.0
1495853238.15937,1839999,54.0
1495855414.586898,1859999,62.0
1495857602.946763,1879999,60.0
1495859790.38367,1899999,50.0
1495861976.834147,1919999,67.0
1495864168.059288,1939999,56.0
1495866351.511382,1959999,66.0
1495868533.658788,1979999,51.0
1495870710.934626,1999999,68.0
1495872893.733742,2019999,61.0
1495875088.011652,2039999,68.0
1495877276.052159,2059999,59.0
1495879469.314947,2079999,61.0
1495881664.495513,2099999,60.0
1495883866.574349,2119999,50.0
1495886072.973402,2139999,62.0
1495888289.499576,2159999,74.0
1495890506.477479,2179999,63.0
1495892720.844827,2199999,63.0
1495894929.81373,2219999,62.0
1495897141.269344,2239999,66.0
1495899348.838166,2259999,70.0
1495901557.028877,2279999,69.0
1495903768.53714,2299999,62.0
1495905982.590008,2319999,73.0
1495908205.560489,2339999,64.0
1495910430.753899,2359999,64.0
1495912654.989659,2379999,67.0
1495914885.188541,2399999,64.0
1495917118.690359,2419999,60.0
1495919349.668093,2439999,67.0
1495921580.490685,2459999,69.0
1495923811.358888,2479999,58.0
1495926042.032799,2499999,64.0
1495928270.097726,2519999,71.0
1495930498.97451,2539999,78.0
1495932721.880235,2559999,67.0
1495934942.137155,2579999,54.0
1495937156.433728,2599999,61.0
1495939374.520473,2619999,69.0
1495941600.959342,2639999,76.0
1495943828.696312,2659999,66.0
1495946059.464637,2679999,79.0
1495948296.278972,2699999,86.0
1495950527.334861,2719999,76.0
1495952751.773597,2739999,61.0
1495954977.718014,2759999,66.0
1495957207.943152,2779999,68.0
1495959438.589957,2799999,66.0
1495961680.173967,2819999,66.0
1495963926.006858,2839999,62.0
1495966175.373379,2859999,62.0
1495968421.878197,2879999,59.0
1495970674.332032,2899999,65.0
1495972925.042958,2919999,60.0
1495975173.726105,2939999,70.0
1495977421.757439,2959999,69.0
1495979673.709402,2979999,67.0
1495981922.624311,2999999,67.0
1495984171.396499,3019999,64.0
1495986415.926008,3039999,62.0
