Wall time,Step,Value
1495648660.526024,39999,-20.0
1495651473.219531,59999,-27.0
1495654322.368586,79999,-42.0
1495657166.249651,99999,-34.0
1495660031.979668,119999,-40.0
1495662902.147438,139999,-62.0
1495665764.637979,159999,-65.0
1495668619.315276,179999,-60.0
1495671474.470364,199999,-54.0
1495674327.97743,219999,-81.0
1495677133.870172,239999,-47.0
1495679823.90702,259999,-47.0
1495682422.527255,279999,-37.0
1495684937.681957,299999,-61.0
1495687388.064392,319999,-36.0
1495689804.992483,339999,-41.0
1495692190.00711,359999,-46.0
1495694539.851568,379999,-34.0
1495696844.273908,399999,-27.0
1495699124.321601,419999,-27.0
1495701399.313775,439999,-30.0
1495703664.289546,459999,-14.0
1495705923.401985,479999,-27.0
1495708160.634717,499999,-11.0
1495710374.038452,519999,-13.0
1495712590.999719,539999,-18.0
1495714805.088105,559999,-20.0
1495717009.89123,579999,-4.0
1495719184.040519,599999,-26.0
1495721358.938907,619999,-17.0
1495723526.559588,639999,-2.0
1495725700.08136,659999,-1.0
1495727864.682632,679999,-4.0
1495730026.758563,699999,-3.0
1495732192.734551,719999,1.0
1495734373.238455,739999,1.0
1495736544.969013,759999,-3.0
1495738711.238088,779999,-1.0
1495740878.163262,799999,-5.0
1495743033.931223,819999,-3.0
1495745180.848246,839999,-1.0
1495747329.37448,859999,0.0
1495749474.032418,879999,5.0
1495751627.072916,899999,2.0
1495753764.760262,919999,-2.0
1495755899.587887,939999,6.0
1495758035.351224,959999,4.0
1495760165.122854,979999,-1.0
1495762293.414553,999999,4.0
1495764426.811288,1019999,7.0
1495766561.554344,1039999,7.0
1495768695.933874,1059999,1.0
1495770825.855629,1079999,6.0
1495772956.813467,1099999,11.0
1495775085.867537,1119999,-8.0
1495777216.980372,1139999,9.0
1495779346.23586,1159999,-3.0
1495781472.242132,1179999,-2.0
1495783598.240279,1199999,9.0
1495785722.933598,1219999,12.0
1495787844.654487,1239999,0.0
1495789969.440316,1259999,0.0
1495792097.417432,1279999,4.0
1495794228.362179,1299999,12.0
1495796358.768923,1319999,2.0
1495798495.563508,1339999,16.0
1495800633.118027,1359999,-1.0
1495802768.433195,1379999,17.0
1495804906.542478,1399999,7.0
1495807041.138574,1419999,5.0
1495809167.291402,1439999,3.0
1495811291.598189,1459999,0.0
1495813413.547524,1479999,7.0
1495815537.515734,1499999,4.0
1495817661.381199,1519999,5.0
1495819794.092397,1539999,-24.0
1495821923.513331,1559999,2.0
1495824059.839906,1579999,6.0
1495826197.254564,1599999,7.0
1495828340.445812,1619999,5.0
1495830481.99876,1639999,-1.0
1495832635.234582,1659999,9.0
1495834788.671748,1679999,-2.0
1495836945.295362,1699999,8.0
1495839100.790238,1719999,11.0
1495841258.183784,1739999,2.0
1495843420.526052,1759999,1.0
1495845578.822047,1779999,-6.0
1495847745.354718,1799999,6.0
1495849912.165865,1819999,11.0
1495852071.840457,1839999,-1.0
1495854231.336705,1859999,18.0
1495856396.107712,1879999,1.0
1495858557.230454,1899999,1.0
1495860721.210904,1919999,12.0
1495862889.551502,1939999,4.0
1495865066.652153,1959999,-11.0
1495867240.556043,1979999,8.0
1495869416.289786,1999999,7.0
1495871595.973702,2019999,-6.0
1495873779.970484,2039999,16.0
1495875963.404802,2059999,13.0
1495878150.27284,2079999,16.0
1495880336.989708,2099999,1.0
1495882525.914509,2119999,4.0
1495884721.918715,2139999,14.0
1495886919.263062,2159999,10.0
1495889113.904317,2179999,-5.0
1495891312.010997,2199999,8.0
1495893515.202214,2219999,4.0
1495895724.83301,2239999,13.0
1495897937.244591,2259999,23.0
1495900148.837095,2279999,4.0
1495902355.755556,2299999,-2.0
1495904563.799923,2319999,4.0
1495906773.367897,2339999,7.0
1495908980.135763,2359999,0.0
1495911188.187999,2379999,13.0
1495913402.836839,2399999,3.0
1495915616.218426,2419999,-2.0
1495917832.574046,2439999,9.0
1495920048.965258,2459999,21.0
1495922277.788595,2479999,5.0
1495924502.475795,2499999,10.0
1495926724.542061,2519999,7.0
1495928950.813189,2539999,22.0
1495931176.413082,2559999,20.0
1495933410.223993,2579999,10.0
1495935645.945599,2599999,11.0
1495937884.2964,2619999,10.0
1495940125.539435,2639999,9.0
1495942360.862118,2659999,6.0
1495944600.076239,2679999,14.0
1495946833.656662,2699999,4.0
1495949069.695047,2719999,11.0
1495951308.112288,2739999,18.0
1495953546.689268,2759999,14.0
1495955787.483156,2779999,0.0
1495958029.168521,2799999,7.0
1495960265.470533,2819999,3.0
1495962501.376605,2839999,5.0
1495964742.327074,2859999,28.0
1495966985.811311,2879999,4.0
1495969230.114788,2899999,8.0
1495971479.521474,2919999,1.0
1495973731.075837,2939999,15.0
1495975979.491632,2959999,14.0
1495978226.249828,2979999,-5.0
1495980476.023589,2999999,16.0
1495982724.593493,3019999,11.0
1495984978.469821,3039999,8.0
1495987239.256909,3059999,19.0
1495989496.288711,3079999,1.0
1495991756.106753,3099999,16.0
1495994013.103317,3119999,14.0
1495996271.488977,3139999,16.0
1495998529.199211,3159999,7.0
1496000786.603402,3179999,5.0
1496003048.120946,3199999,4.0
1496005312.064773,3219999,15.0
1496007575.206199,3239999,8.0
1496009837.113964,3259999,18.0
1496012103.928469,3279999,0.0
1496014372.015343,3299999,11.0
1496016640.190346,3319999,21.0
1496018905.974963,3339999,28.0
1496021175.295049,3359999,-4.0
1496023444.947745,3379999,14.0
1496025710.245303,3399999,-4.0
1496027971.96521,3419999,17.0
1496030234.982504,3439999,25.0
1496032499.075873,3459999,13.0
1496034764.594491,3479999,5.0
1496037033.68702,3499999,14.0
1496039301.450032,3519999,26.0
1496041571.167807,3539999,19.0
1496043838.78299,3559999,19.0
1496046104.057333,3579999,2.0
1496048369.588366,3599999,9.0
1496050633.032188,3619999,22.0
1496052898.55553,3639999,18.0
1496055164.844529,3659999,16.0
1496057431.759634,3679999,13.0
1496059702.179893,3699999,4.0
1496061970.075792,3719999,22.0
1496064231.481917,3739999,15.0
1496066493.195002,3759999,21.0
1496068751.611463,3779999,13.0
1496071008.336854,3799999,20.0
1496073275.272449,3819999,21.0
1496075536.88868,3839999,30.0
1496077802.789706,3859999,4.0
1496080068.812818,3879999,9.0
1496082340.744991,3899999,19.0
1496084605.9835,3919999,21.0
1496086871.362564,3939999,1.0
1496089143.298642,3959999,28.0
1496091410.674353,3979999,5.0
1496093674.237039,3999999,14.0
1496095942.738456,4019999,18.0
1496098217.420016,4039999,2.0
1496100502.977006,4059999,0.0
1496102785.799294,4079999,4.0
1496105071.105641,4099999,-8.0
1496107358.699397,4119999,8.0
1496109646.972869,4139999,22.0
1496111935.589487,4159999,15.0
1496114223.622469,4179999,3.0
