Wall time,Step,Value
1495650361.781234,39999,116.0
1495654904.71854,59999,125.0
1495660048.425969,79999,128.0
1495665766.334235,99999,131.0
1495671823.741199,119999,111.0
1495677795.701372,139999,117.0
1495683817.254808,159999,118.0
1495689902.465074,179999,125.0
1495695995.62481,199999,116.0
1495702089.751778,219999,123.0
1495708157.239464,239999,129.0
1495714205.21214,259999,118.0
1495720240.055471,279999,118.0
1495726341.225242,299999,129.0
1495732435.090956,319999,131.0
1495738526.93403,339999,132.0
1495744632.453632,359999,136.0
1495750741.225706,379999,132.0
1495756852.331295,399999,130.0
1495762869.002782,419999,126.0
1495768953.305839,439999,132.0
1495775069.743129,459999,133.0
1495781188.152297,479999,133.0
1495787309.523997,499999,134.0
1495793437.918633,519999,133.0
1495799560.114722,539999,136.0
1495805687.262304,559999,131.0
1495811808.890752,579999,130.0
1495817934.010055,599999,132.0
1495824057.04938,619999,135.0
1495830176.008017,639999,130.0
1495836299.903004,659999,131.0
1495842421.154277,679999,134.0
1495848547.534658,699999,133.0
1495854600.834519,719999,133.0
1495860626.459664,739999,126.0
1495866648.916129,759999,134.0
1495872678.524512,779999,131.0
1495878709.224903,799999,134.0
1495884740.355813,819999,128.0
1495890775.805403,839999,129.0
1495896813.601766,859999,133.0
1495902842.737028,879999,128.0
1495908872.346387,899999,131.0
1495914906.483634,919999,130.0
1495920934.405869,939999,136.0
1495926962.868175,959999,133.0
1495933003.615866,979999,135.0
1495939030.590161,999999,130.0
1495945059.07658,1019999,129.0
1495951091.844857,1039999,131.0
1495957131.027177,1059999,131.0
1495963160.600935,1079999,123.0
1495969190.913263,1099999,132.0
1495975227.459363,1119999,134.0
1495981256.665873,1139999,127.0
1495987282.897113,1159999,128.0
1495993316.256142,1179999,135.0
1495999317.184122,1199999,130.0
1496005316.9997,1219999,134.0
1496011333.374728,1239999,133.0
1496017384.493901,1259999,131.0
1496023424.517541,1279999,134.0
1496029463.318044,1299999,130.0
1496035509.36122,1319999,133.0
1496041559.128135,1339999,133.0
1496047611.324042,1359999,134.0
1496053662.18958,1379999,130.0
1496059780.671695,1399999,135.0
1496065906.994797,1419999,133.0
1496072033.721603,1439999,123.0
1496078060.118059,1459999,128.0
1496084088.04548,1479999,131.0
1496090115.260662,1499999,134.0
1496096130.421273,1519999,134.0
1496102129.423051,1539999,136.0
1496108142.906955,1559999,129.0
1496114198.45548,1579999,133.0
1496120251.639204,1599999,133.0
1496126298.631912,1619999,122.0
1496132346.657122,1639999,133.0
1496138404.104651,1659999,128.0
1496144461.542154,1679999,127.0
1496150525.129081,1699999,135.0
1496156578.149806,1719999,127.0
1496162640.2955,1739999,134.0
1496168695.389924,1759999,131.0
1496174748.075588,1779999,120.0
1496180804.13396,1799999,132.0
1496186865.740586,1819999,132.0
1496192923.882779,1839999,126.0
1496198989.727014,1859999,128.0
1496205032.470523,1879999,129.0
1496211050.224651,1899999,134.0
1496217091.972881,1919999,132.0
1496223160.694564,1939999,136.0
1496229222.445257,1959999,132.0
1496235278.994672,1979999,131.0
1496241339.185975,1999999,130.0
1496247398.650871,2019999,132.0
1496253472.2046,2039999,129.0
1496259528.219513,2059999,130.0
1496265684.688244,2079999,133.0
1496271840.918399,2099999,133.0
1496277999.280003,2119999,135.0
1496284076.616006,2139999,126.0
1496290136.800504,2159999,128.0
1496296196.728845,2179999,135.0
1496302258.610394,2199999,129.0
1496308316.700076,2219999,128.0
1496314368.193626,2239999,134.0
1496320415.574443,2259999,131.0
1496326622.909072,2279999,136.0
1496332947.167589,2299999,127.0
1496339366.088123,2319999,132.0
1496345699.98786,2339999,121.0
1496352023.901388,2359999,134.0
1496358352.997033,2379999,127.0
1496364661.047895,2399999,130.0
1496370972.398996,2419999,132.0
1496377273.105162,2439999,128.0
1496383576.867725,2459999,130.0
