Wall time,Step,Value
1495653683.437606,79999,1701.0
1495655503.073209,99999,1116.0
1495657696.933541,119999,801.0
1495660213.759755,139999,396.0
1495663059.729854,159999,806.0
1495666058.532229,179999,360.0
1495669045.726601,199999,581.0
1495672043.053301,219999,333.0
1495675043.375469,239999,468.0
1495678163.21185,259999,405.0
1495681294.631066,279999,387.0
1495684375.85585,299999,414.0
1495687439.061006,319999,477.0
1495690489.738215,339999,477.0
1495693528.672629,359999,531.0
1495696565.19296,379999,441.0
1495699600.333625,399999,378.0
1495702555.271996,419999,459.0
1495705478.585016,439999,806.0
1495708402.74839,459999,423.0
1495711325.367868,479999,351.0
1495714247.364857,499999,558.0
1495717166.059723,519999,707.0
1495720086.837788,539999,369.0
1495723005.020647,559999,450.0
1495725921.905305,579999,495.0
1495728837.513234,599999,396.0
1495731753.425144,619999,369.0
1495734669.509615,639999,390.0
1495737581.506256,659999,1022.0
1495740495.386392,679999,342.0
1495743410.939588,699999,441.0
1495746237.151584,719999,450.0
1495749062.52788,739999,369.0
1495751883.927226,759999,351.0
1495754702.496738,779999,342.0
1495757523.020415,799999,441.0
1495760340.595667,819999,360.0
1495763155.06313,839999,860.0
1495765968.159478,859999,869.0
1495768785.907733,879999,378.0
1495771600.735105,899999,522.0
1495774477.638229,919999,423.0
1495777474.971473,939999,414.0
1495780477.949782,959999,441.0
1495783481.271656,979999,498.0
1495786477.918613,999999,405.0
1495789477.369774,1019999,405.0
1495792475.174411,1039999,369.0
1495795476.574126,1059999,414.0
1495798478.871678,1079999,360.0
1495801479.134033,1099999,576.0
1495804480.100592,1119999,351.0
1495807483.564068,1139999,414.0
1495810485.404802,1159999,396.0
1495813489.923389,1179999,378.0
1495816492.467566,1199999,351.0
1495819493.102056,1219999,734.0
1495822494.412018,1239999,405.0
1495825491.658368,1259999,306.0
1495828488.729307,1279999,432.0
1495831483.72307,1299999,477.0
1495834489.312597,1319999,396.0
1495837492.547073,1339999,342.0
1495840493.735164,1359999,396.0
1495843468.547112,1379999,450.0
1495846442.261537,1399999,378.0
1495849415.210514,1419999,342.0
1495852386.656658,1439999,761.0
1495855362.70228,1459999,414.0
1495858338.437207,1479999,441.0
1495861318.522984,1499999,387.0
1495864289.223514,1519999,833.0
1495867260.070602,1539999,414.0
1495870232.101357,1559999,405.0
1495873202.020011,1579999,324.0
1495876171.704537,1599999,482.0
1495879142.642952,1619999,396.0
1495882112.132902,1639999,369.0
1495885083.579661,1659999,360.0
1495888052.096525,1679999,396.0
1495891041.200198,1699999,378.0
1495894184.981062,1719999,630.0
1495897193.130471,1739999,351.0
1495900167.372278,1759999,378.0
1495903142.029769,1779999,351.0
1495906115.442125,1799999,540.0
1495909087.042355,1819999,432.0
1495912057.194274,1839999,396.0
1495915026.755708,1859999,468.0
1495917997.045265,1879999,797.0
1495920965.788582,1899999,378.0
1495923941.135459,1919999,351.0
1495926915.010155,1939999,414.0
1495929887.099276,1959999,351.0
1495932856.098144,1979999,477.0
1495935827.246087,1999999,363.0
1495938722.7907,2019999,896.0
1495941571.027572,2039999,459.0
1495944421.314233,2059999,522.0
1495947274.494991,2079999,315.0
1495950124.867608,2099999,342.0
1495952972.774935,2119999,369.0
1495955820.062981,2139999,378.0
1495958664.37445,2159999,387.0
1495961512.695294,2179999,360.0
1495964362.396477,2199999,405.0
1495967232.055223,2219999,378.0
1495970194.752894,2239999,468.0
1495973131.762013,2259999,423.0
1495976052.196602,2279999,396.0
1495978973.787692,2299999,459.0
1495981906.532751,2319999,444.0
1495984826.805781,2339999,842.0
1495987749.752298,2359999,414.0
1495990677.971877,2379999,680.0
1495993606.135558,2399999,396.0
1495996530.007583,2419999,351.0
1495999459.266491,2439999,459.0
1496002385.42288,2459999,635.0
1496005306.416629,2479999,860.0
1496008226.296371,2499999,653.0
1496011152.030239,2519999,369.0
1496014087.729149,2539999,342.0
1496017026.702634,2559999,441.0
1496020023.816629,2579999,405.0
1496023020.307599,2599999,432.0
1496026000.39636,2619999,342.0
1496028974.879331,2639999,459.0
1496031940.830595,2659999,423.0
1496034907.427275,2679999,396.0
1496037865.446646,2699999,450.0
1496040822.235568,2719999,396.0
1496043785.197817,2739999,396.0
1496046736.475492,2759999,360.0
1496049814.499694,2779999,495.0
1496052990.18273,2799999,396.0
1496056164.93255,2819999,378.0
1496059323.820454,2839999,378.0
1496062579.830994,2859999,387.0
1496065830.984997,2879999,405.0
1496069068.521734,2899999,522.0
1496072307.693223,2919999,477.0
1496075542.226237,2939999,468.0
1496078781.11047,2959999,432.0
1496082016.658283,2979999,441.0
1496085249.497275,2999999,396.0
1496088479.936892,3019999,531.0
1496091704.59149,3039999,405.0
1496094931.501538,3059999,432.0
1496098156.706949,3079999,351.0
1496101376.035508,3099999,459.0
1496104636.833613,3119999,369.0
1496107920.076532,3139999,432.0
1496111193.980788,3159999,549.0
1496114456.900656,3179999,387.0
1496117701.013114,3199999,468.0
1496120940.383679,3219999,378.0
1496124176.637474,3239999,369.0
1496127414.043432,3259999,423.0
1496130648.309231,3279999,342.0
1496133882.946219,3299999,378.0
1496137106.311114,3319999,360.0
1496140328.787973,3339999,698.0
1496143558.84973,3359999,432.0
1496146810.437324,3379999,405.0
1496150070.489412,3399999,378.0
1496153349.254686,3419999,396.0
1496156616.961783,3439999,333.0
1496159871.033336,3459999,423.0
1496163120.88738,3479999,360.0
1496166367.496206,3499999,369.0
1496169599.723787,3519999,950.0
1496172839.763906,3539999,513.0
1496176071.569696,3559999,351.0
1496179303.581392,3579999,423.0
1496182525.969567,3599999,405.0
1496185757.722813,3619999,752.0
1496189018.112038,3639999,351.0
1496192265.563632,3659999,450.0
1496195517.687751,3679999,576.0
1496198792.771895,3699999,414.0
1496202060.648267,3719999,315.0
1496205318.742974,3739999,360.0
1496208565.42803,3759999,788.0
1496211800.761956,3779999,414.0
1496215035.136338,3799999,369.0
1496218267.630294,3819999,612.0
1496221499.272095,3839999,360.0
1496224725.941103,3859999,423.0
1496227969.619316,3879999,360.0
1496231223.478341,3899999,378.0
1496234482.733263,3919999,441.0
1496237734.729601,3939999,549.0
1496241009.254017,3959999,342.0
1496244268.052131,3979999,486.0
1496247526.177191,3999999,342.0
1496250770.389427,4019999,378.0
1496254004.67278,4039999,716.0
1496257235.272708,4059999,405.0
1496260461.496597,4079999,745.0
1496263696.476729,4099999,414.0
1496266931.626909,4119999,450.0
1496270188.750249,4139999,405.0
1496273440.58056,4159999,360.0
1496276682.081033,4179999,279.0
1496279924.876075,4199999,405.0
1496283168.882555,4219999,531.0
1496286444.635603,4239999,540.0
1496289701.355641,4259999,396.0
1496292947.427313,4279999,405.0
1496296188.740396,4299999,405.0
1496299432.428273,4319999,342.0
1496302666.529368,4339999,360.0
1496305888.744165,4359999,459.0
1496309127.770458,4379999,689.0
1496312391.485465,4399999,459.0
1496315643.075546,4419999,504.0
1496318888.930441,4439999,459.0
1496322111.203345,4459999,378.0
1496325352.440208,4479999,414.0
1496328604.591221,4499999,333.0
1496331862.533618,4519999,585.0
1496335112.552213,4539999,486.0
1496338355.977283,4559999,432.0
1496341599.914273,4579999,450.0
1496344837.214621,4599999,477.0
1496348073.171256,4619999,315.0
1496351326.624806,4639999,522.0
1496354584.785282,4659999,360.0
1496357844.83643,4679999,324.0
1496361088.113405,4699999,315.0
1496364328.413173,4719999,414.0
1496367566.854719,4739999,405.0
1496370806.862735,4759999,459.0
1496374082.515897,4779999,369.0
1496377352.45052,4799999,396.0
1496380596.923029,4819999,342.0
1496383838.000559,4839999,369.0
1496387073.482493,4859999,450.0
