Wall time,Step,Value
1495649307.82902,39999,106.0
1495652508.429947,59999,116.0
1495655700.111117,79999,122.0
1495658784.733097,99999,129.0
1495661813.590996,119999,124.0
1495664839.395183,139999,115.0
1495667877.403308,159999,118.0
1495670881.836391,179999,107.0
1495673854.355986,199999,110.0
1495676778.574033,219999,129.0
1495679671.489959,239999,124.0
1495682565.301346,259999,125.0
1495685428.821101,279999,135.0
1495688273.440006,299999,136.0
1495691117.28526,319999,128.0
1495693950.046961,339999,117.0
1495696771.698903,359999,128.0
1495699579.543598,379999,120.0
1495702387.821828,399999,128.0
1495705190.534781,419999,124.0
1495707990.416741,439999,125.0
1495710783.286588,459999,130.0
1495713555.977592,479999,125.0
1495716327.142657,499999,117.0
1495719101.79222,519999,129.0
1495721887.224241,539999,121.0
1495724663.568367,559999,119.0
1495727433.096026,579999,123.0
1495730189.126721,599999,125.0
1495732892.371589,619999,123.0
1495735600.644379,639999,130.0
1495738307.206621,659999,125.0
1495741012.595389,679999,128.0
1495743701.127716,699999,121.0
1495746392.911179,719999,117.0
1495749091.072987,739999,129.0
1495751784.189226,759999,126.0
1495754474.595406,779999,130.0
1495757162.079623,799999,120.0
1495759849.245513,819999,139.0
1495762530.640239,839999,121.0
1495765220.877908,859999,122.0
1495767906.673786,879999,127.0
1495770592.307957,899999,129.0
1495773267.032097,919999,126.0
1495775950.006998,939999,123.0
1495778634.800863,959999,125.0
1495781316.355998,979999,125.0
1495783994.558912,999999,118.0
1495786678.607379,1019999,122.0
1495789364.468043,1039999,130.0
1495792053.288229,1059999,124.0
1495794741.105833,1079999,133.0
1495797437.569173,1099999,133.0
1495800138.05241,1119999,133.0
1495802841.388678,1139999,138.0
1495805544.640335,1159999,130.0
1495808253.492847,1179999,131.0
1495810966.53013,1199999,132.0
1495813697.792679,1219999,132.0
1495816434.265653,1239999,132.0
1495819180.072222,1259999,133.0
1495821929.362438,1279999,137.0
1495824678.654196,1299999,136.0
1495827439.057698,1319999,134.0
1495830218.166526,1339999,133.0
1495833000.890491,1359999,130.0
1495835795.478411,1379999,131.0
1495838587.11723,1399999,130.0
1495841384.27273,1419999,128.0
1495844181.594691,1439999,135.0
1495846977.991519,1459999,137.0
1495849772.009587,1479999,132.0
1495852548.960625,1499999,137.0
1495855328.083517,1519999,136.0
1495858114.316391,1539999,134.0
1495860906.015,1559999,134.0
1495863695.624703,1579999,132.0
1495866494.551771,1599999,128.0
1495869306.595558,1619999,134.0
1495872124.95352,1639999,133.0
1495874955.858148,1659999,131.0
1495877792.330802,1679999,129.0
1495880634.653751,1699999,130.0
1495883473.42996,1719999,128.0
1495886302.103761,1739999,134.0
1495889134.075707,1759999,138.0
1495891981.246876,1779999,135.0
1495894842.510288,1799999,134.0
1495897698.716879,1819999,127.0
1495900548.52662,1839999,129.0
1495903407.279732,1859999,129.0
1495906265.179368,1879999,123.0
1495909116.017196,1899999,128.0
1495911963.768116,1919999,126.0
1495914815.452173,1939999,128.0
1495917675.429421,1959999,127.0
1495920541.924256,1979999,135.0
1495923405.55021,1999999,134.0
1495926289.982161,2019999,128.0
1495929191.763665,2039999,126.0
1495932110.690461,2059999,126.0
1495935020.458539,2079999,124.0
1495937948.056411,2099999,125.0
1495940889.913833,2119999,134.0
1495943844.020192,2139999,111.0
1495946789.783585,2159999,125.0
1495949741.93714,2179999,118.0
1495952710.276459,2199999,130.0
1495955673.263645,2219999,131.0
1495958654.63079,2239999,126.0
1495961639.579699,2259999,129.0
1495964612.26229,2279999,137.0
1495967572.918269,2299999,125.0
1495970535.349465,2319999,122.0
1495973503.407517,2339999,118.0
1495976459.407397,2359999,116.0
1495979419.011841,2379999,117.0
1495982377.249038,2399999,112.0
1495985357.249725,2419999,123.0
1495988343.21167,2439999,122.0
1495991336.348814,2459999,126.0
1495994319.269673,2479999,122.0
1495997302.47173,2499999,123.0
1496000294.814661,2519999,125.0
1496003288.831124,2539999,118.0
1496006289.075029,2559999,126.0
1496009285.04243,2579999,119.0
1496012277.559127,2599999,117.0
1496015275.893162,2619999,128.0
1496018284.657235,2639999,121.0
1496021291.620724,2659999,114.0
1496024301.548654,2679999,122.0
1496027303.640752,2699999,134.0
1496030290.825513,2719999,120.0
1496033292.16658,2739999,127.0
1496036292.993748,2759999,120.0
1496039305.400668,2779999,121.0
1496042323.064721,2799999,129.0
1496045356.567603,2819999,132.0
1496048385.721135,2839999,126.0
1496051416.501502,2859999,129.0
1496054452.733148,2879999,122.0
1496057493.699185,2899999,118.0
1496060531.785108,2919999,131.0
1496063577.90474,2939999,114.0
1496066618.94757,2959999,114.0
1496069665.970327,2979999,122.0
1496072692.514463,2999999,114.0
1496075728.205844,3019999,127.0
1496078755.412952,3039999,121.0
1496081794.360902,3059999,116.0
1496084843.027283,3079999,126.0
1496087884.818495,3099999,130.0
1496090931.691133,3119999,118.0
1496093951.61089,3139999,124.0
1496096969.942524,3159999,118.0
1496099991.26714,3179999,123.0
1496103021.404805,3199999,116.0
1496106054.383904,3219999,124.0
1496109090.948149,3239999,110.0
1496112121.718929,3259999,126.0
1496115152.442937,3279999,127.0
1496118181.495477,3299999,126.0
1496121221.373887,3319999,119.0
1496124262.352246,3339999,118.0
1496127315.631134,3359999,116.0
1496130370.627355,3379999,119.0
1496133438.097765,3399999,116.0
1496136496.733742,3419999,100.0
1496139558.694328,3439999,116.0
1496142631.206255,3459999,140.0
1496145683.348542,3479999,116.0
1496148724.169545,3499999,119.0
1496151764.684842,3519999,124.0
1496154816.899277,3539999,114.0
1496157864.644715,3559999,113.0
1496160919.504178,3579999,122.0
1496163974.823635,3599999,124.0
1496167046.366202,3619999,117.0
1496170107.201293,3639999,117.0
1496173166.48284,3659999,122.0
1496176241.709536,3679999,122.0
1496179319.376924,3699999,117.0
1496182413.136657,3719999,117.0
1496185506.73188,3739999,115.0
1496188595.254322,3759999,119.0
1496191688.966609,3779999,127.0
1496194774.411811,3799999,117.0
1496197864.658343,3819999,118.0
1496200942.708843,3839999,116.0
1496204031.932412,3859999,118.0
1496207110.417644,3879999,100.0
1496210192.075715,3899999,114.0
1496213273.045376,3919999,122.0
1496216357.072485,3939999,114.0
1496219437.668707,3959999,107.0
1496222520.48443,3979999,115.0
1496225616.373577,3999999,126.0
1496228710.51787,4019999,120.0
1496231805.318182,4039999,121.0
1496234901.32161,4059999,117.0
1496237989.840826,4079999,121.0
1496241083.345756,4099999,114.0
1496244179.735922,4119999,115.0
1496247259.270234,4139999,125.0
1496250355.686112,4159999,120.0
1496253446.336537,4179999,114.0
1496256538.946339,4199999,122.0
1496259643.651095,4219999,111.0
1496262759.686431,4239999,124.0
1496265858.597597,4259999,118.0
1496268943.867153,4279999,121.0
1496272025.713157,4299999,120.0
1496275118.83373,4319999,126.0
1496278218.81204,4339999,118.0
1496281321.762519,4359999,126.0
1496284422.098972,4379999,124.0
1496287506.916461,4399999,126.0
1496290594.849175,4419999,116.0
1496293685.572874,4439999,134.0
1496296768.634231,4459999,121.0
1496299840.228571,4479999,123.0
1496302913.853501,4499999,128.0
1496305994.589885,4519999,126.0
1496309071.141635,4539999,120.0
1496312147.877747,4559999,122.0
1496315225.959713,4579999,122.0
1496318306.085248,4599999,123.0
1496321394.952612,4619999,116.0
1496324493.499854,4639999,123.0
1496327607.076187,4659999,117.0
1496330714.295166,4679999,122.0
1496333815.919757,4699999,118.0
1496336911.827052,4719999,115.0
1496340008.794852,4739999,104.0
1496343099.456246,4759999,118.0
1496346196.041322,4779999,102.0
1496349303.710503,4799999,115.0
1496352410.420611,4819999,128.0
1496355508.244803,4839999,121.0
1496358616.788572,4859999,120.0
1496361721.650469,4879999,114.0
1496364837.943407,4899999,116.0
1496367953.163639,4919999,113.0
1496371063.39512,4939999,123.0
1496374182.664693,4959999,117.0
1496377299.881638,4979999,112.0
1496380431.638547,4999999,121.0
1496383567.869744,5019999,123.0
1496386687.236735,5039999,112.0
