Wall time,Step,Value
1495647442.847579,39999,1170.0
1495648803.740801,59999,1746.0
1495650173.761272,79999,963.0
1495651533.689444,99999,963.0
1495652865.583006,119999,666.0
1495654192.105301,139999,986.0
1495655514.917501,159999,594.0
1495656828.019914,179999,878.0
1495658120.030751,199999,792.0
1495659408.060222,219999,810.0
1495660692.779946,239999,657.0
1495661964.382446,259999,783.0
1495663231.970041,279999,720.0
1495664500.017703,299999,774.0
1495665764.736889,319999,1188.0
1495667031.7703,339999,657.0
1495668297.345325,359999,882.0
1495669533.904357,379999,711.0
1495670775.118531,399999,819.0
1495672040.35199,419999,1017.0
1495673302.984881,439999,783.0
1495674537.123989,459999,742.0
1495675787.060406,479999,819.0
1495677041.793238,499999,1206.0
1495678299.355519,519999,990.0
1495679543.848769,539999,1098.0
1495680797.358717,559999,1863.0
1495682054.156912,579999,1251.0
1495683308.723185,599999,1134.0
1495684555.779362,619999,2016.0
1495685806.465312,639999,2430.0
1495687057.970753,659999,1953.0
1495688309.841072,679999,2439.0
1495689560.929875,699999,4365.0
1495690815.052145,719999,3159.0
1495692023.2727,739999,2394.0
1495693177.927839,759999,2619.0
1495694399.702142,779999,2889.0
1495695664.96725,799999,3069.0
1495696914.546858,819999,3816.0
1495698058.473544,839999,3501.0
1495699313.450288,859999,5049.0
1495700573.528976,879999,3465.0
1495701820.343287,899999,5544.0
1495703066.560765,919999,3051.0
1495704318.129283,939999,2862.0
1495705561.336305,959999,2061.0
1495706813.157824,979999,3834.0
1495708062.71808,999999,3996.0
1495709317.370798,1019999,4068.0
1495710572.329942,1039999,3852.0
1495711827.387105,1059999,3564.0
1495713080.297464,1079999,3330.0
1495714288.011128,1099999,5238.0
1495715499.25146,1119999,4320.0
1495716734.120606,1139999,3069.0
1495717992.183747,1159999,4113.0
1495719246.895462,1179999,3645.0
1495720505.93659,1199999,4563.0
1495721762.420575,1219999,5193.0
1495723023.886659,1239999,3141.0
1495724286.367713,1259999,3600.0
1495725550.571197,1279999,3528.0
1495726816.682242,1299999,8100.0
1495728086.752312,1319999,3402.0
1495729359.902025,1339999,4977.0
1495730633.740825,1359999,7353.0
1495731909.263273,1379999,4842.0
1495733184.390758,1399999,5355.0
1495734462.033937,1419999,5751.0
1495735740.391067,1439999,6669.0
1495737022.863874,1459999,5553.0
1495738305.57447,1479999,5409.0
1495739592.363958,1499999,6156.0
1495740884.233749,1519999,5094.0
1495742173.811546,1539999,4482.0
1495743463.539408,1559999,4527.0
1495744752.067295,1579999,4689.0
1495746055.539824,1599999,4671.0
1495747359.589295,1619999,4221.0
1495748665.16507,1639999,6417.0
1495749975.635377,1659999,4266.0
1495751284.570576,1679999,8559.0
1495752594.306446,1699999,5346.0
1495753902.465474,1719999,6354.0
1495755204.864765,1739999,6876.0
1495756507.519408,1759999,4374.0
1495757813.203888,1779999,3384.0
1495759119.288682,1799999,4284.0
1495760430.260113,1819999,5409.0
1495761742.11729,1839999,4212.0
1495763054.092751,1859999,4599.0
1495764367.128108,1879999,4473.0
1495765684.054637,1899999,6831.0
1495766998.878187,1919999,9054.0
1495768317.475118,1939999,5400.0
1495769634.299952,1959999,4851.0
1495770950.992836,1979999,7227.0
1495772266.186995,1999999,10134.0
1495773593.614939,2019999,5787.0
1495774928.016339,2039999,4950.0
1495776253.320782,2059999,4725.0
1495777584.882927,2079999,3222.0
1495778918.92875,2099999,4077.0
1495780257.541221,2119999,3447.0
1495781595.704981,2139999,4536.0
1495782928.516691,2159999,5328.0
1495784256.917965,2179999,5004.0
1495785584.594641,2199999,5472.0
1495786918.179873,2219999,4878.0
1495788253.14387,2239999,5508.0
1495789587.198958,2259999,3573.0
1495790910.58967,2279999,5400.0
1495792234.846304,2299999,7407.0
1495793563.817826,2319999,6345.0
1495794900.611384,2339999,7848.0
1495796241.711615,2359999,6876.0
1495797584.153461,2379999,7947.0
1495798927.244645,2399999,3807.0
1495800274.732684,2419999,4356.0
1495801619.493361,2439999,3654.0
1495802962.776503,2459999,4329.0
1495804307.033179,2479999,4869.0
1495805655.980139,2499999,5724.0
1495807006.240168,2519999,4599.0
1495808356.71309,2539999,4086.0
1495809704.897355,2559999,4986.0
1495811053.522871,2579999,5112.0
1495812402.382681,2599999,4590.0
1495813751.89938,2619999,4176.0
1495815099.571872,2639999,7695.0
1495816445.717889,2659999,7731.0
1495817795.126124,2679999,6912.0
1495819143.99339,2699999,4428.0
1495820489.242828,2719999,3870.0
1495821835.983386,2739999,4770.0
1495823183.401871,2759999,4113.0
1495824529.703221,2779999,4212.0
1495825876.244132,2799999,4581.0
1495827221.81516,2819999,3879.0
1495828570.777754,2839999,3933.0
1495829920.85801,2859999,4959.0
1495831267.665343,2879999,5472.0
1495832615.075492,2899999,4131.0
1495833963.149683,2919999,4392.0
1495835309.472451,2939999,5616.0
1495836653.210013,2959999,4707.0
1495837996.003223,2979999,3699.0
1495839340.470342,2999999,4626.0
1495840680.116351,3019999,5112.0
1495842017.014446,3039999,8874.0
1495843347.547595,3059999,4743.0
1495844675.865843,3079999,7065.0
1495846009.604937,3099999,4248.0
1495847349.154732,3119999,10656.0
1495848691.429519,3139999,4752.0
1495850037.893378,3159999,7794.0
1495851388.84904,3179999,6984.0
1495852738.839727,3199999,4635.0
1495854087.665313,3219999,4584.0
1495855434.255005,3239999,3753.0
1495856783.1197,3259999,3231.0
1495858131.922818,3279999,4113.0
1495859480.972515,3299999,4689.0
1495860831.887661,3319999,4878.0
1495862183.533891,3339999,5481.0
1495863531.919392,3359999,6165.0
1495864885.404284,3379999,5562.0
1495866238.236399,3399999,5760.0
1495867590.986898,3419999,5337.0
1495868946.146363,3439999,4482.0
1495870299.092233,3459999,4770.0
1495871648.633159,3479999,4806.0
1495872993.714116,3499999,5256.0
1495874336.35119,3519999,7866.0
1495875680.095563,3539999,7866.0
1495877026.33983,3559999,6966.0
1495878375.791888,3579999,8676.0
1495879727.021193,3599999,3609.0
1495881079.853289,3619999,9216.0
1495882432.44737,3639999,3807.0
1495883788.363671,3659999,9135.0
1495885144.959904,3679999,6138.0
1495886506.783749,3699999,4590.0
1495887864.034146,3719999,5283.0
1495889218.85005,3739999,6048.0
1495890578.108068,3759999,6498.0
1495891930.154854,3779999,7137.0
1495893287.29976,3799999,5040.0
1495894640.118018,3819999,6156.0
1495895998.30963,3839999,3735.0
1495897357.671579,3859999,5850.0
1495898713.129931,3879999,8100.0
1495900076.171397,3899999,3501.0
1495901437.842968,3919999,8667.0
1495902798.196682,3939999,5949.0
1495904163.202669,3959999,5949.0
1495905523.659973,3979999,4896.0
1495906885.240855,3999999,7263.0
1495908244.442076,4019999,6705.0
1495909605.285191,4039999,3654.0
1495910963.02394,4059999,4752.0
1495912322.639275,4079999,4374.0
1495913686.349185,4099999,7704.0
1495915046.979825,4119999,8955.0
1495916409.092485,4139999,9036.0
1495917770.365438,4159999,6435.0
1495919134.302552,4179999,5778.0
1495920504.548731,4199999,4401.0
1495921877.872509,4219999,5976.0
1495923247.45925,4239999,4473.0
1495924613.299098,4259999,4590.0
1495925978.68815,4279999,4257.0
1495927346.036716,4299999,5463.0
1495928715.269347,4319999,5832.0
1495930092.343883,4339999,5427.0
1495931472.27727,4359999,5652.0
1495932850.684279,4379999,4950.0
1495934222.316907,4399999,4302.0
1495935592.835128,4419999,6291.0
1495936961.979427,4439999,6111.0
1495938330.332943,4459999,7038.0
1495939699.431808,4479999,3816.0
1495941066.782138,4499999,3825.0
1495942430.106127,4519999,7371.0
1495943793.066153,4539999,6363.0
1495945156.934429,4559999,7380.0
1495946522.485685,4579999,4428.0
1495947888.536637,4599999,7245.0
1495949253.704388,4619999,4797.0
1495950617.41354,4639999,4122.0
1495951977.079311,4659999,4689.0
1495953337.999698,4679999,4860.0
1495954701.808579,4699999,6147.0
1495956071.152093,4719999,4797.0
1495957443.734278,4739999,5130.0
1495958812.723618,4759999,8784.0
1495960183.085047,4779999,6750.0
1495961550.141235,4799999,9783.0
1495962918.12465,4819999,8640.0
1495964287.206315,4839999,6660.0
1495965657.467562,4859999,6372.0
1495967028.671573,4879999,8838.0
1495968396.501806,4899999,4527.0
1495969765.682251,4919999,3807.0
1495971138.564914,4939999,4392.0
1495972512.884025,4959999,3942.0
1495973885.777116,4979999,4266.0
1495975262.487835,4999999,3834.0
1495976639.436962,5019999,3843.0
1495978012.167779,5039999,3726.0
1495979385.705225,5059999,4266.0
1495980758.255305,5079999,8451.0
1495982130.889636,5099999,7398.0
1495983506.116945,5119999,5661.0
1495984880.405413,5139999,4365.0
1495986248.975659,5159999,5202.0
1495987622.150257,5179999,6741.0
1495988992.810808,5199999,7425.0
1495990360.615786,5219999,7812.0
1495991734.808038,5239999,6129.0
1495993107.12293,5259999,10467.0
1495994475.836786,5279999,9513.0
1495995842.847554,5299999,5544.0
1495997209.699956,5319999,4671.0
1495998576.462216,5339999,8190.0
1495999943.796221,5359999,7461.0
1496001318.869354,5379999,4293.0
1496002694.624564,5399999,4914.0
1496004068.549941,5419999,4860.0
1496005436.993773,5439999,5634.0
1496006804.509795,5459999,9126.0
1496008175.403637,5479999,5031.0
1496009556.148083,5499999,6498.0
1496010947.750226,5519999,4473.0
1496012330.481374,5539999,7893.0
1496013716.772422,5559999,4365.0
1496015101.634879,5579999,5004.0
1496016477.255411,5599999,3456.0
1496017846.266545,5619999,5904.0
1496019225.757654,5639999,4284.0
1496020612.573777,5659999,4041.0
1496021999.355736,5679999,5301.0
1496023388.718503,5699999,5004.0
1496024780.382291,5719999,4104.0
1496026169.787865,5739999,5355.0
1496027552.692308,5759999,4779.0
1496028932.111922,5779999,5742.0
1496030308.05793,5799999,7182.0
1496031684.587428,5819999,6138.0
1496033059.374311,5839999,4653.0
1496034434.642057,5859999,4041.0
1496035815.085558,5879999,4482.0
1496037193.145135,5899999,4698.0
1496038570.15366,5919999,6534.0
1496039948.497735,5939999,5598.0
1496041328.944044,5959999,7965.0
1496042722.095238,5979999,4518.0
1496044107.056219,5999999,4725.0
1496045487.876401,6019999,4770.0
1496046870.494234,6039999,3456.0
1496048254.606989,6059999,4365.0
1496049648.020103,6079999,3411.0
1496051049.63131,6099999,3357.0
1496052455.51614,6119999,3492.0
1496053860.970665,6139999,5175.0
1496055267.987727,6159999,9351.0
1496056666.705561,6179999,6993.0
1496058066.85572,6199999,3654.0
1496059467.504147,6219999,7173.0
1496060870.317899,6239999,6021.0
1496062278.743553,6259999,5940.0
1496063683.806391,6279999,9342.0
1496065089.755015,6299999,5859.0
1496066494.097142,6319999,7146.0
1496067899.82648,6339999,6066.0
1496069310.01138,6359999,3249.0
1496070721.522363,6379999,5832.0
1496072129.928973,6399999,5022.0
1496073542.472018,6419999,4032.0
1496074948.583349,6439999,8865.0
