Wall time,Step,Value
1495649577.426965,39999,106.0
1495653819.176378,59999,126.0
1495658702.457712,79999,114.0
1495664197.356006,99999,119.0
1495669945.23716,119999,107.0
1495675719.182178,139999,112.0
1495681494.442855,159999,117.0
1495687323.461969,179999,107.0
1495693123.349911,199999,115.0
1495698923.052115,219999,121.0
1495704712.787064,239999,118.0
1495710504.206624,259999,122.0
1495716322.446604,279999,126.0
1495722111.663419,299999,117.0
1495727949.834206,319999,116.0
1495733765.616572,339999,121.0
1495739583.826986,359999,123.0
1495745385.323193,379999,116.0
1495751213.032512,399999,127.0
1495757036.799895,419999,123.0
1495762862.221665,439999,112.0
1495768692.204984,459999,124.0
1495774482.026869,479999,129.0
1495780278.838599,499999,123.0
1495786073.651376,519999,118.0
1495791875.221574,539999,126.0
1495797682.109017,559999,124.0
1495803470.996663,579999,123.0
1495809272.992687,599999,120.0
1495815067.120173,619999,121.0
1495820874.574006,639999,131.0
1495826669.554632,659999,125.0
1495832469.018469,679999,128.0
1495838287.320695,699999,124.0
1495844091.201749,719999,126.0
1495849894.186525,739999,126.0
1495855698.148821,759999,131.0
1495861518.610428,779999,129.0
1495867334.386611,799999,132.0
1495873181.341312,819999,121.0
1495879077.819394,839999,134.0
1495884957.238497,859999,125.0
1495890811.220638,879999,126.0
1495896697.912513,899999,125.0
1495902622.105483,919999,133.0
1495908526.151788,939999,118.0
1495914423.397024,959999,124.0
1495920337.762452,979999,128.0
1495926267.801138,999999,130.0
1495932179.715231,1019999,121.0
1495938116.610489,1039999,128.0
1495944111.977567,1059999,125.0
1495950082.645131,1079999,128.0
1495956090.357603,1099999,131.0
1495962092.302718,1119999,124.0
1495968100.699655,1139999,127.0
1495974107.232063,1159999,126.0
1495980030.238709,1179999,127.0
1495986093.372719,1199999,127.0
1495992030.793096,1219999,115.0
1495997949.323318,1239999,128.0
1496003793.536719,1259999,129.0
1496009677.141409,1279999,133.0
1496015590.253923,1299999,133.0
1496021489.780349,1319999,128.0
1496027313.484064,1339999,130.0
1496033160.995903,1359999,125.0
1496039045.388526,1379999,121.0
1496044936.141751,1399999,122.0
1496050883.955133,1419999,133.0
1496056853.886944,1439999,127.0
1496062783.235147,1459999,120.0
1496068758.343858,1479999,135.0
1496074740.564807,1499999,132.0
1496080697.359424,1519999,124.0
1496086678.646071,1539999,125.0
1496092714.039086,1559999,134.0
1496098647.759444,1579999,132.0
1496104612.776662,1599999,129.0
1496110591.883016,1619999,130.0
1496116557.244959,1639999,130.0
1496122485.237559,1659999,132.0
1496128406.376877,1679999,131.0
1496134363.247315,1699999,132.0
1496140303.001569,1719999,129.0
1496146240.935039,1739999,133.0
1496152161.247891,1759999,128.0
1496158073.88702,1779999,130.0
1496164005.286511,1799999,132.0
1496169921.603227,1819999,129.0
1496175838.848459,1839999,135.0
1496181820.377863,1859999,132.0
1496187762.644753,1879999,117.0
1496193699.827301,1899999,135.0
1496199627.576556,1919999,135.0
1496205594.417518,1939999,129.0
1496211539.902195,1959999,132.0
1496217514.764873,1979999,131.0
1496223448.161998,1999999,123.0
1496229364.020012,2019999,127.0
1496235299.639222,2039999,131.0
1496241231.054051,2059999,130.0
1496247176.142186,2079999,134.0
1496253095.943795,2099999,133.0
1496259006.400739,2119999,125.0
1496264895.25392,2139999,133.0
1496270797.657126,2159999,134.0
1496276707.314945,2179999,129.0
1496282636.613596,2199999,133.0
1496288557.162956,2219999,132.0
1496294495.281077,2239999,133.0
1496300437.233487,2259999,130.0
1496306373.887681,2279999,127.0
1496312306.1558,2299999,132.0
1496318258.208547,2319999,130.0
1496324192.124638,2339999,129.0
1496330006.330422,2359999,130.0
1496335546.385634,2379999,120.0
1496341082.503123,2399999,130.0
1496346623.216573,2419999,134.0
1496352156.051324,2439999,134.0
1496357689.162385,2459999,132.0
1496363214.942593,2479999,117.0
1496368741.100805,2499999,132.0
1496374274.858563,2519999,132.0
1496379800.161046,2539999,128.0
1496385328.295717,2559999,130.0
