Wall time,Step,Value
1495649577.426122,39999,1368.0
1495653819.17551,59999,1161.0
1495658702.456894,79999,1953.0
1495664197.355184,99999,756.0
1495669945.236341,119999,891.0
1495675719.181342,139999,423.0
1495681494.441995,159999,711.0
1495687323.461116,179999,468.0
1495693123.349073,199999,369.0
1495698923.051282,219999,441.0
1495704712.786232,239999,432.0
1495710504.205779,259999,441.0
1495716322.445773,279999,477.0
1495722111.6626,299999,612.0
1495727949.833381,319999,837.0
1495733765.615746,339999,378.0
1495739583.82614,359999,549.0
1495745385.322378,379999,495.0
1495751213.031684,399999,450.0
1495757036.799057,419999,459.0
1495762862.22076,439999,333.0
1495768692.204172,459999,378.0
1495774482.025989,479999,378.0
1495780278.837782,499999,459.0
1495786073.650548,519999,932.0
1495791875.220763,539999,369.0
1495797682.108213,559999,369.0
1495803470.995855,579999,459.0
1495809272.991872,599999,390.0
1495815067.119364,619999,441.0
1495820874.573179,639999,360.0
1495826669.553797,659999,450.0
1495832469.017648,679999,432.0
1495838287.319876,699999,459.0
1495844091.20094,719999,360.0
1495849894.185656,739999,504.0
1495855698.148011,759999,459.0
1495861518.609599,779999,360.0
1495867334.385797,799999,378.0
1495873181.340494,819999,324.0
1495879077.81856,839999,432.0
1495884957.237673,859999,423.0
1495890811.219794,879999,432.0
1495896697.911666,899999,486.0
1495902622.104667,919999,860.0
1495908526.150989,939999,513.0
1495914423.396076,959999,887.0
1495920337.761627,979999,351.0
1495926267.800329,999999,441.0
1495932179.714407,1019999,788.0
1495938116.609678,1039999,450.0
1495944111.976748,1059999,414.0
1495950082.644198,1079999,504.0
1495956090.35676,1099999,558.0
1495962092.301928,1119999,450.0
1495968100.698834,1139999,414.0
1495974107.231225,1159999,504.0
1495980030.237876,1179999,396.0
1495986093.371863,1199999,360.0
1495992030.792281,1219999,959.0
1495997949.322486,1239999,513.0
1496003793.535904,1259999,441.0
1496009677.140575,1279999,423.0
1496015590.253047,1299999,432.0
1496021489.779502,1319999,869.0
1496027313.483224,1339999,414.0
1496033160.995096,1359999,360.0
1496039045.387697,1379999,423.0
1496044936.14092,1399999,423.0
1496050883.954311,1419999,459.0
1496056853.886107,1439999,387.0
1496062783.234314,1459999,540.0
1496068758.343032,1479999,495.0
1496074740.563912,1499999,477.0
1496080697.358603,1519999,441.0
1496086678.645262,1539999,432.0
1496092714.038257,1559999,432.0
1496098647.758602,1579999,369.0
1496104612.775727,1599999,396.0
1496110591.882213,1619999,648.0
1496116557.24409,1639999,369.0
1496122485.236727,1659999,342.0
1496128406.376038,1679999,360.0
1496134363.246513,1699999,432.0
1496140303.000742,1719999,477.0
1496146240.934216,1739999,1103.0
1496152161.247087,1759999,342.0
1496158073.886208,1779999,333.0
1496164005.285703,1799999,905.0
1496169921.602395,1819999,459.0
1496175838.847605,1839999,423.0
1496181820.37701,1859999,567.0
1496187762.64393,1879999,396.0
1496193699.826486,1899999,315.0
1496199627.575732,1919999,360.0
1496205594.416696,1939999,351.0
1496211539.901259,1959999,315.0
1496217514.764046,1979999,351.0
1496223448.161171,1999999,441.0
1496229364.019173,2019999,432.0
1496235299.638425,2039999,360.0
1496241231.053193,2059999,414.0
1496247176.141301,2079999,396.0
1496253095.942959,2099999,360.0
1496259006.399818,2119999,729.0
1496264895.253082,2139999,423.0
1496270797.656277,2159999,315.0
1496276707.314134,2179999,378.0
1496282636.612739,2199999,441.0
1496288557.1621,2219999,378.0
1496294495.280252,2239999,423.0
1496300437.232641,2259999,734.0
1496306373.886882,2279999,405.0
1496312306.154856,2299999,369.0
1496318258.207729,2319999,743.0
1496324192.123801,2339999,405.0
1496330006.329612,2359999,486.0
1496335546.384821,2379999,441.0
1496341082.502306,2399999,378.0
1496346623.215759,2419999,378.0
1496352156.050512,2439999,432.0
1496357689.161576,2459999,558.0
1496363214.941789,2479999,441.0
1496368741.100011,2499999,594.0
1496374274.857738,2519999,477.0
1496379800.160239,2539999,432.0
1496385328.294925,2559999,387.0
