Wall time,Step,Value
1495649859.532582,39999,110.0
1495651049.464529,59999,111.0
1495652229.696609,79999,117.0
1495653385.831249,99999,116.0
1495654533.774264,119999,121.0
1495655680.605723,139999,125.0
1495656814.434325,159999,117.0
1495657919.6316,179999,93.0
1495659021.639615,199999,109.0
1495660119.49042,219999,125.0
1495661210.366248,239999,111.0
1495662294.385967,259999,119.0
1495663378.780826,279999,123.0
1495664465.090731,299999,128.0
1495665545.258285,319999,116.0
1495666629.487435,339999,125.0
1495667713.490547,359999,130.0
1495668793.269244,379999,128.0
1495669873.090738,399999,116.0
1495670952.302957,419999,131.0
1495672026.394016,439999,125.0
1495673100.286189,459999,136.0
1495674176.310506,479999,132.0
1495675250.854615,499999,128.0
1495676320.815413,519999,128.0
1495677392.654529,539999,125.0
1495678466.475522,559999,128.0
1495679538.49042,579999,132.0
1495680612.613307,599999,132.0
1495681688.315712,619999,132.0
1495682761.694657,639999,130.0
1495683838.560636,659999,116.0
1495684918.611435,679999,124.0
1495686002.915562,699999,123.0
1495687084.994957,719999,131.0
1495688166.2467,739999,129.0
1495689247.133193,759999,127.0
1495690328.515554,779999,127.0
1495691409.084283,799999,129.0
1495692490.376433,819999,130.0
1495693570.030163,839999,128.0
1495694652.165864,859999,127.0
1495695724.929664,879999,132.0
1495696791.323861,899999,131.0
1495697858.467425,919999,140.0
1495698927.089315,939999,135.0
1495699990.313422,959999,131.0
1495701052.941835,979999,138.0
1495702117.239429,999999,132.0
1495703180.834183,1019999,138.0
1495704204.860682,1039999,135.0
1495705228.708563,1059999,138.0
1495706252.700179,1079999,135.0
1495707278.383157,1099999,136.0
1495708304.17572,1119999,128.0
1495709332.653492,1139999,132.0
1495710365.268036,1159999,134.0
1495711399.444099,1179999,137.0
1495712432.195201,1199999,134.0
1495713463.369339,1219999,133.0
1495714465.905234,1239999,133.0
1495715373.294398,1259999,136.0
1495716284.070609,1279999,136.0
1495717196.253026,1299999,136.0
1495718110.002627,1319999,134.0
1495719026.476693,1339999,131.0
1495719943.671935,1359999,129.0
1495720862.521528,1379999,130.0
1495721780.623804,1399999,137.0
1495722700.201178,1419999,133.0
1495723619.333339,1439999,135.0
1495724540.713157,1459999,140.0
1495725460.777627,1479999,134.0
1495726381.194391,1499999,133.0
1495727300.011706,1519999,136.0
1495728221.366709,1539999,134.0
1495729145.01356,1559999,134.0
1495730072.42936,1579999,137.0
1495730997.960371,1599999,134.0
1495731925.764883,1619999,130.0
1495732859.447655,1639999,130.0
1495733793.635643,1659999,135.0
1495734727.778319,1679999,130.0
1495735662.13281,1699999,128.0
1495736597.629067,1719999,139.0
1495737535.205926,1739999,138.0
1495738475.517708,1759999,133.0
1495739419.798615,1779999,133.0
1495740364.4622,1799999,134.0
1495741309.114765,1819999,124.0
1495742254.835398,1839999,132.0
1495743203.360721,1859999,133.0
1495744152.9182,1879999,139.0
1495745110.171786,1899999,135.0
1495746067.49151,1919999,135.0
1495747051.811788,1939999,136.0
1495748047.27083,1959999,133.0
1495749043.552229,1979999,133.0
1495750039.592957,1999999,132.0
1495751034.81255,2019999,131.0
1495752028.898837,2039999,126.0
1495753024.273876,2059999,127.0
1495754020.239709,2079999,141.0
1495755019.526303,2099999,137.0
1495756020.865043,2119999,132.0
1495757019.391377,2139999,124.0
1495758019.573285,2159999,127.0
1495759020.008957,2179999,132.0
1495760023.29069,2199999,128.0
1495761027.697414,2219999,126.0
1495762032.708224,2239999,128.0
1495763040.57733,2259999,132.0
1495764048.983054,2279999,136.0
1495765058.665298,2299999,133.0
1495766072.91278,2319999,128.0
1495767084.542257,2339999,134.0
1495768097.495652,2359999,130.0
1495769112.439704,2379999,126.0
1495770130.778213,2399999,137.0
1495771150.807541,2419999,133.0
1495772170.882948,2439999,137.0
1495773189.144673,2459999,132.0
1495774356.560389,2479999,134.0
1495775559.15545,2499999,134.0
1495776789.942287,2519999,130.0
1495777992.252684,2539999,128.0
1495779189.694296,2559999,128.0
1495780419.209327,2579999,128.0
1495781629.119239,2599999,140.0
1495782834.249622,2619999,135.0
1495784063.070668,2639999,129.0
1495785274.052388,2659999,132.0
1495786481.041122,2679999,135.0
1495787721.667569,2699999,131.0
1495788939.933231,2719999,132.0
1495790153.775155,2739999,132.0
1495791397.381641,2759999,133.0
1495792617.766125,2779999,131.0
1495793832.053295,2799999,136.0
1495795076.240273,2819999,134.0
1495796289.862389,2839999,129.0
1495797502.134771,2859999,134.0
1495798752.177128,2879999,137.0
1495799973.086452,2899999,131.0
1495801185.101677,2919999,128.0
1495802430.761507,2939999,135.0
1495803656.153358,2959999,130.0
1495804874.893641,2979999,127.0
1495806129.905623,2999999,137.0
1495807349.137462,3019999,126.0
1495808571.436723,3039999,129.0
1495809822.235652,3059999,133.0
1495811046.571186,3079999,131.0
1495812263.67038,3099999,133.0
1495813510.235716,3119999,135.0
1495814733.637854,3139999,135.0
1495815957.936311,3159999,137.0
1495817208.883925,3179999,135.0
1495818430.472098,3199999,134.0
1495819651.374796,3219999,133.0
1495820901.160678,3239999,131.0
1495822122.539089,3259999,130.0
1495823347.898058,3279999,130.0
1495824596.44636,3299999,130.0
1495825820.858635,3319999,128.0
1495827047.092721,3339999,135.0
1495828300.501303,3359999,129.0
1495829520.815749,3379999,131.0
1495830743.412328,3399999,125.0
1495831990.14049,3419999,125.0
1495833212.482464,3439999,127.0
1495834446.250366,3459999,134.0
1495835693.640269,3479999,129.0
1495836917.390597,3499999,134.0
1495838153.897171,3519999,139.0
1495839406.299518,3539999,133.0
1495840632.535277,3559999,133.0
1495841875.07427,3579999,127.0
1495843118.506877,3599999,130.0
1495844351.545297,3619999,134.0
1495845591.422744,3639999,134.0
1495846841.655491,3659999,138.0
1495848070.715101,3679999,133.0
1495849309.9742,3699999,136.0
1495850550.464239,3719999,131.0
1495851778.723255,3739999,131.0
1495853030.992792,3759999,134.0
1495854276.08351,3779999,137.0
1495855508.068515,3799999,130.0
1495856754.732182,3819999,136.0
1495857999.944864,3839999,135.0
1495859228.47957,3859999,135.0
1495860474.115826,3879999,134.0
1495861714.40085,3899999,132.0
1495862941.092079,3919999,140.0
