Wall time,Step,Value
1495651510.957101,39999,1854.0
1495654283.326145,59999,1773.0
1495657043.009014,79999,1332.0
1495659750.513998,99999,1107.0
1495662359.425984,119999,615.0
1495664897.259918,139999,806.0
1495667363.004349,159999,567.0
1495669789.202991,179999,855.0
1495672143.533977,199999,909.0
1495674506.471182,219999,756.0
1495676910.417446,239999,914.0
1495679278.983906,259999,752.0
1495681591.734425,279999,801.0
1495683898.499129,299999,711.0
1495686185.316509,319999,693.0
1495688458.756189,339999,720.0
1495690727.019545,359999,630.0
1495693015.13894,379999,675.0
1495695297.876399,399999,702.0
1495697578.647928,419999,837.0
1495699885.860926,439999,648.0
1495702174.843528,459999,738.0
1495704478.0787,479999,711.0
1495706771.245483,499999,855.0
1495709069.243113,519999,729.0
1495711360.773525,539999,1787.0
1495713639.73196,559999,810.0
1495715914.73959,579999,909.0
1495718179.914596,599999,1728.0
1495720439.374175,619999,1872.0
1495722698.298045,639999,1908.0
1495724967.037977,659999,2115.0
1495727233.882266,679999,2079.0
1495729498.941999,699999,1737.0
1495731749.677842,719999,3240.0
1495733999.802657,739999,2439.0
1495736245.139989,759999,3555.0
1495738496.884003,779999,1782.0
1495740745.785634,799999,1566.0
1495742999.138764,819999,5625.0
1495745245.671613,839999,1737.0
1495747493.158667,859999,1800.0
1495749721.36319,879999,5877.0
1495751954.73128,899999,3267.0
1495754184.964131,919999,6174.0
1495756440.441457,939999,2907.0
1495758691.22596,959999,1503.0
1495760929.280077,979999,1701.0
1495763157.277894,999999,1548.0
1495765392.327162,1019999,2061.0
1495767636.79429,1039999,1620.0
1495769881.013017,1059999,1809.0
1495772137.741824,1079999,2070.0
1495774385.043934,1099999,1737.0
1495776626.960199,1119999,1908.0
1495778868.18297,1139999,2484.0
1495781125.889592,1159999,1809.0
1495783399.528961,1179999,1908.0
1495785678.785973,1199999,1854.0
1495787957.203717,1219999,1854.0
1495790243.145993,1239999,2034.0
1495792526.510817,1259999,1746.0
1495794817.440048,1279999,1899.0
1495797133.19319,1299999,3159.0
1495799453.446188,1319999,1812.0
1495801800.439483,1339999,1713.0
1495804175.419696,1359999,1836.0
1495806549.674784,1379999,1800.0
1495808938.248481,1399999,1872.0
1495811326.544865,1419999,2016.0
1495813730.794713,1439999,1821.0
1495816153.128186,1459999,1791.0
1495818580.119419,1479999,1683.0
1495821026.298813,1499999,1782.0
1495823471.792426,1519999,1848.0
1495825931.303341,1539999,1800.0
1495828394.772994,1559999,1854.0
1495830858.328975,1579999,2502.0
1495833328.556997,1599999,1665.0
1495835812.490281,1619999,2394.0
1495838292.34056,1639999,2511.0
1495840778.690429,1659999,1791.0
1495843265.524897,1679999,1782.0
1495845762.443615,1699999,1773.0
1495848279.665569,1719999,1820.0
1495850807.230544,1739999,1665.0
1495853343.522622,1759999,1755.0
1495855895.257545,1779999,1998.0
1495858444.141671,1799999,1782.0
1495861015.669973,1819999,2043.0
1495863578.633822,1839999,1800.0
1495866146.014911,1859999,1692.0
1495868710.094957,1879999,1728.0
1495871282.564315,1899999,2349.0
1495873846.245878,1919999,2556.0
1495876437.125269,1939999,1881.0
1495879040.666404,1959999,1764.0
1495881640.439252,1979999,1830.0
1495884250.392399,1999999,2268.0
1495886874.044911,2019999,1728.0
1495889498.150865,2039999,1800.0
1495892138.039088,2059999,2502.0
1495894770.932747,2079999,1809.0
1495897398.406645,2099999,1845.0
1495900018.879629,2119999,1926.0
1495902640.815919,2139999,1845.0
1495905278.539079,2159999,1791.0
1495907924.959063,2179999,2007.0
1495910555.952027,2199999,1962.0
1495913204.784821,2219999,1782.0
1495915843.302419,2239999,2007.0
1495918480.353811,2259999,1935.0
1495921122.99734,2279999,1800.0
1495923762.911766,2299999,1845.0
1495926436.959448,2319999,1899.0
1495929092.735899,2339999,2304.0
1495931751.423668,2359999,1719.0
1495934417.13716,2379999,2088.0
1495937062.594263,2399999,2313.0
1495939722.640333,2419999,1971.0
1495942374.918194,2439999,2061.0
1495945036.839585,2459999,2493.0
1495947705.399247,2479999,2169.0
1495950382.561768,2499999,2718.0
1495953070.034437,2519999,2466.0
1495955753.485584,2539999,2349.0
1495958436.484038,2559999,1983.0
1495961107.907589,2579999,1656.0
1495963784.03624,2599999,1953.0
1495966454.496867,2619999,1935.0
1495969126.210027,2639999,1854.0
1495971796.758089,2659999,1764.0
1495974472.665109,2679999,2160.0
1495977156.891428,2699999,1863.0
1495979840.393837,2719999,2079.0
1495982532.163414,2739999,1881.0
1495985220.860918,2759999,1800.0
